amount,card_name,is_foil,is_pinned,is_signed,set_id,set_code,collector_number,language,condition,comment,added
1,"Llanowar Wastes",,,,,"DSC","287",,,,
1,"Lotus Petal",,,,,"TMP","294",,,,
1,"Loyal Retainers",,,,,"CMM","39",,,,
1,"Mana Confluence",,,,,"JOU","163",,,,
1,"Mana Vault",,,,,"2X2","308",,,,
1,"Marsh Flats",,,,,"SLU","1",,,,
1,"Merciless Executioner",,,,,"LTC","204",,,,
1,"Meren of Clan Nel Toth",,,,,"CMM","346",,,,
1,"Mikaeus, the Unhallowed",,,,,"CMM","173",,,,
1,"Murmuring Bosk",,,,,"LTC","320",,,,
1,"Necromancy",,,,,"MKC","131",,,,
1,"Necrotic Sliver",,,,,"CMM","932",,,,
1,"Overgrown Tomb",,,,,"RVR","283",,,,
1,"Pattern of Rebirth",,,,,"UMA","176",,,,
1,"Peacekeeper",,,,,"WTH","22",,,,
1,"Pernicious Deed",,,,,"A25","212",,,,
1,"Phyrexian Altar",,,,,"2X2","311",,,,
1,"Phyrexian Arena",,,,,"FDN","180",,,,
1,"Polluted Delta",,,,,"KTK","239",,,,
1,"Qasali Pridemage",,,,,"2X2","267",,,,
1,"Reanimate",,,,,"DSC","155",,,,
1,"Reclamation Sage",,,,,"FDN","231",,,,
1,"Reveillark",,,,,"2X2","26",,,,
1,"Saffi Eriksdotter",,,,,"TSR","260",,,,
1,"Sensei's Divining Top",,,,,"2X2","314",,,,
1,"Sheoldred, Whispering One",,,,,"IMA","108",,,,
1,"Skullclamp",,,,,"BLC","283",,,,
1,"Sol Ring",,,,,"DRC","56",,,,
1,"Sun Titan",,,,,"BLC","157",,,,
1,"Sunpetal Grove",,,,,"BLC","335",,,,
1,"Survival of the Fittest",,,,,"EXO","129",,,,
1,"Swords to Plowshares",,,,,"DRC","37",,,,
1,"Temple Garden",,,,,"RVR","290",,,,
1,"Thalia, Guardian of Thraben",,,,,"VOW","38",,,,
1,"Toxic Deluge",,,,,"MKC","142",,,,
1,"Urborg, Tomb of Yawgmoth",,,,,"TSR","287",,,,
1,"Vampiric Tutor",,,,,"DMR","108",,,,
1,"Victimize",,,,,"CMM","195",,,,
1,"Viscera Seer",,,,,"LCC","213",,,,
1,"Vryn Wingmare",,,,,"M21","43",,,,
1,"Weathered Wayfarer",,,,,"LTC","183",,,,
1,"Windswept Heath",,,,,"KTK","248",,,,
1,"Wood Elves",,,,,"LTC","263",,,,
1,"Wooded Foothills",,,,,"KTK","249",,,,
1,"Woodfall Primus",,,,,"LTC","264",,,,
1,"Woodland Cemetery",,,,,"DSC","326",,,,
1,"Worldly Tutor",,,,,"DMR","185",,,,
1,"Wrath of God",,,,,"CMM","70",,,,
