amount,card_name,is_foil,is_pinned,is_signed,set_id,set_code,collector_number,language,condition,comment,added
1,"Fertilid",,,,,"JMP",,"en","NM",,
1,"Fierce Empath",,,,,"MB1",,"en","NM",,
1,"Fire Diamond",,,,,"CMR",,"en","NM",,
2,"Fireforger's Puzzleknot",,,,,"KLD",,"en","NM",,
1,"Fireshrieker",,,,,"MRD",,"en","NM",,
2,"Fireshrieker",,,,,"CMR",,"en","NM",,
1,"First Response",,,,,"M15",,"en","NM",,
1,"Fists of Flame",,,,,"MH1",,"en","NM",,
1,"Flame Slash",,,,,"ROE",,"en","NM",,
1,"Flamerush Rider",,,,,"C19",,"en","NM",,
1,"Flavor Judge",,,,,"UND",,"en","NM",,
1,"Fleetfeather Sandals",,,,,"THS",,"en","NM",,
1,"Flensermite",,,,,"MBS",,"en","NM",,
1,"Font of Fertility",,,,,"JOU",,"en","NM",,
1,"Footfall Crater",1,,,,"IKO",,"en","NM",,
8,"Forest",,,,,"NEO",,"en","NM",,
20,"Forest",,,,,"NEO",,"en","NM",,
4,"Forgotten Ancient",,,,,"NEC",,"en","NM",,
1,"Forgotten Cave",,,,,"C20",,"en","NM",,
1,"Foundation Breaker",,,,,"MH2",,"en","NM",,
1,"Frankie Peanuts",,,,,"UND",,"en","NM",,
1,"Frontier Siege",,,,,"FRF",,"en","NM",,
1,"Fyndhorn Elder",,,,,"8ED",,"en","NM",,
1,"Fynn, the Fangbearer",,,,,"KHM",,"en","NM",,
1,"Gaea's Touch",,,,,"DRK",,"en","NM",,
1,"Galvanic Juggernaut",,,,,"CNS",,"en","NM",,
1,"Game Trail",,,,,"NEC",,"en","NM",,
1,"Gargoyle Sentinel",,,,,"M11",,"en","NM",,
1,"Garruk's Packleader",,,,,"C19",,"en","NM",,
1,"Gate Hound",,,,,"RAV",,"en","NM",,
2,"Gateway Plaza",,,,,"GRN",,"en","NM",,
1,"Gaze of Granite",,,,,"C20",,"en","NM",,
1,"Geier Reach Sanitarium",,,,,"AFC",,"en","NM",,
1,"Gemrazer",,,,,"IKO",,"en","NM",,
1,"General's Kabuto",,,,,"CHK",,"en","NM",,
1,"Generator Servant",,,,,"M15",,"en","NM",,
1,"Genesis Hydra",,,,,"NEC",,"en","NM",,
1,"Ghired, Conclave Exile",1,,,,"C19",,"en","NM",,
1,"Ghired's Belligerence",,,,,"C19",,"en","NM",,
1,"Ghost Quarter",,,,,"MB1",,"en","NM",,
1,"Ghostly Pilferer",,,,,"VOC",,"en","NM",,
1,"Giant Adephage",,,,,"C19",,"en","NM",,
1,"Gleam of Battle",,,,,"DGM",,"en","NM",,
1,"Glint-Horn Buccaneer",,,,,"M20",,"en","NM",,
1,"Glistener Elf",,,,,"NPH",,"en","NM",,
1,"Glowstone Recluse",,,,,"IKO",,"en","NM",,
1,"GO TO JAIL",,,,,"UND",,"en","NM",,
1,"Goblin Anarchomancer",,,,,"MH2",,"en","NM",,
1,"Goblin Lyre",,,,,"ICE",,"en","NM",,
1,"Goblin Racketeer",,,,,"CN2",,"en","NM",,
1,"Goblin Razerunners",,,,,"NEC",,"en","NM",,
1,"Golem's Heart",,,,,"SOM",,"en","NM",,
1,"Golgari Cluestone",,,,,"DGM",,"en","NM",,
4,"Golgari Guildgate",,,,,"GRN",,"en","NM",,
2,"Golgari Guildgate",,,,,"GRN",,"en","NM",,
1,"Golgari Guildgate",,,,,"RTR",,"en","NM",,
1,"Golgari Locket",,,,,"GRN",,"en","NM",,
2,"Golgari Rot Farm",,,,,"C20",,"en","NM",,
1,"Grafted Exoskeleton",,,,,"SOM",,"en","NM",,
1,"Greater Good",,,,,"BBD",,"en","NM",,
1,"Griffin Guide",,,,,"TSP",,"en","NM",,
1,"Growth Spiral",,,,,"RNA",,"en","NM",,
1,"Grumgully, the Generous",,,,,"NEC",,"en","NM",,
1,"Gruul Cluestone",,,,,"DGM",,"en","NM",,
1,"Gruul Keyrune",,,,,"GTC",,"en","NM",,
1,"Gruul Turf",,,,,"NEC",,"en","NM",,
1,"Guardian Gladewalker",,,,,"KHM",,"en","NM",,
2,"Guardians of Meletis",,,,,"ORI",,"en","NM",,
1,"Gutter Grime",,,,,"ISD",,"en","NM",,
1,"Hagra Mauling // Hagra Broodpit",,,,,"ZNR",,"en","NM",,
1,"Hammer Mage",,,,,"PLIST",,"en","NM",,
1,"Hammer of Ruin",,,,,"WWK",,"en","NM",,
2,"Hand of Emrakul",,,,,"ROE",,"en","NM",,
3,"Hanweir Battlements",,,,,"EMN",,"en","NM",,
1,"Harmonic Convergence",,,,,"ULG",,"en","NM",,
1,"Hate Mirage",,,,,"C19",,"en","NM",,
1,"Haunted Guardian",,,,,"AVR",,"en","NM",,
1,"Haunted Plate Mail",,,,,"M14",,"en","NM",,
1,"Heat Ray",,,,,"ROE",,"en","NM",,
1,"Heat Shimmer",,,,,"2XM",,"en","NM",,
1,"Heliod's Pilgrim",,,,,"THB",,"en","NM",,
1,"Hellkite Charger",,,,,"MM2",,"en","NM",,
1,"Hidden Guerrillas",,,,,"USG",,"en","NM",,
1,"Hidden Predators",,,,,"USG",,"en","NM",,
3,"Honored Hydra",,,,,"AKH",,"en","NM",,
1,"Hooting Mandrills",,,,,"KTK",,"en","NM",,
1,"Hope Tender",,,,,"HOU",,"en","NM",,
1,"Horn of Greed",,,,,"CN2",,"en","NM",,
1,"Horncaller's Chant",,,,,"RTR",,"en","NM",,
1,"Hot Soup",,,,,"M15",,"en","NM",,
1,"Humbler of Mortals",,,,,"JOU",,"en","NM",,
1,"Humming-",,,,,"UND",,"en","NM",,
1,"Hunger of the Howlpack",,,,,"CNS",,"en","NM",,
1,"Hunter's Insight",,,,,"NEC",,"en","NM",,
1,"Hyena Umbra",,,,,"ROE",,"en","NM",,
1,"Ice Tunnel",1,,,,"KHM",,"en","NM",,
1,"Ichorclaw Myr",,,,,"SOM",,"en","NM",,
1,"Ilysian Caryatid",,,,,"THB",,"en","NM",,
1,"Impostor of the Sixth Pride",,,,,"MH1",,"en","NM",,
1,"Incite",,,,,"M11",,"en","NM",,
1,"Initiate's Companion",,,,,"AKH",,"en","NM",,
2,"Inquisitor's Flail",,,,,"ISD",,"en","NM",,
1,"Inspiring Call",,,,,"DTK",,"en","NM",,
2,"Inspiring Statuary",,,,,"AER",,"en","NM",,
1,"Into the North",,,,,"PLIST",,"en","NM",,
1,"Invigorate",,,,,"MB1",,"en","NM",,
1,"Invigorating Hot Spring",,,,,"NEO",,"en","NM",,
1,"Iron Myr",,,,,"SOM",,"en","NM",,
1,"Irregular Cohort",,,,,"MH1",,"en","NM",,
4,"Island",,,,,"C18",,"en","NM",,
1,"Izzet Cluestone",,,,,"DGM",,"en","NM",,
1,"Izzet Guildgate",,,,,"GRN",,"en","NM",,
1,"Izzet Guildgate",,,,,"RTR",,"en","NM",,
1,"Izzet Locket",,,,,"GRN",,"en","NM",,
1,"Jayemdae Tome",,,,,"M13",,"en","NM",,
1,"Journey to Nowhere",,,,,"ZEN",,"en","NM",,
1,"Juggernaut",,,,,"BBD",,"en","NM",,
1,"Jukai Naturalist",,,,,"NEO",,"en","NM",,
2,"Junk Winder",,,,,"MH2",,"en","NM",,
1,"Jwari Disruption // Jwari Ruins",,,,,"ZNR",,"en","NM",,
1,"Kaima, the Fractured Calm",,,,,"NEC",,"en","NM",,
1,"Kami of Celebration",,,,,"NEC",,"en","NM",,
1,"Kami of Transience",,,,,"NEO",,"en","NM",,
1,"Karametra's Acolyte",,,,,"THS",,"en","NM",,
1,"Karametra's Favor",,,,,"BBD",,"en","NM",,
2,"Karametra's Favor",,,,,"BNG",,"en","NM",,
2,"Kasmina's Transmutation",,,,,"WAR",,"en","NM",,
1,"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",,,,,"VOW",,"en","NM",,
1,"Kediss, Emberclaw Familiar",,,,,"CMR",,"en","NM",,
1,"Keeper of Fables",,,,,"ELD",,"en","NM",,
1,"Kenrith's Transformation",,,,,"ELD",,"en","NM",,
1,"Khalni Ambush // Khalni Territory",,,,,"ZNR",,"en","NM",,
1,"Khenra Charioteer",,,,,"AKH",,"en","NM",,
1,"Kher Keep",,,,,"TSR",,"en","NM",,
1,"Knight of the Hokey Pokey",,,,,"UND",,"en","NM",,
1,"Kodama's Reach",,,,,"NEC",,"en","NM",,
1,"Komainu Battle Armor",,,,,"NEC",,"en","NM",,
1,"Kosei, Penitent Warlord",,,,,"NEC",,"en","NM",,
1,"Krenko, Tin Street Kingpin",,,,,"NEC",,"en","NM",,
1,"Krosan Grip",,,,,"TSR",,"en","NM",,
1,"Kruphix's Insight",,,,,"JOU",,"en","NM",,
1,"Lash Out",,,,,"PLIST",,"en","NM",,
1,"Lava Coil",,,,,"GRN",,"en","NM",,
1,"Lead the Stampede",,,,,"CNS",,"en","NM",,
1,"Leaf Gilder",,,,,"ORI",,"en","NM",,
1,"Leyline Tyrant",,,,,"ZNR",,"en","NM",,
1,"Library of Leng",,,,,"4ED",,"en","NM",,
1,"Lifecrafter's Bestiary",,,,,"C20",,"en","NM",,
1,"Lifecrafter's Bestiary",,,,,"MIC",,"en","NM",,
1,"Light-Paws, Emperor's Voice",,,,,"NEO",,"en","NM",,
1,"Lightning Greaves",,,,,"MRD",,"en","NM",,
1,"Liquimetal Torque",,,,,"MH2",,"en","NM",,
1,"Lizard Blades",,,,,"NEO",,"en","NM",,
1,"Llanowar Elves",,,,,"5ED",,"en","NM",,
1,"Llanowar Wastes",,,,,"C19",,"en","NM",,
1,"Look at Me, I'm R&D",,,,,"UND",,"en","NM",,
1,"Look at Me, I'm the DCI",,,,,"UND",,"en","NM",,
2,"Loyal Drake",,,,,"C18",,"en","NM",,
1,"Loyal Guardian",,,,,"NEC",,"en","NM",,
1,"Lumberknot",,,,,"ISD",,"en","NM",,
1,"Lust for War",,,,,"ROE",,"en","NM",,
1,"Mage Slayer",,,,,"NEC",,"en","NM",,
1,"Mage-Ring Network",,,,,"ORI",,"en","NM",,
1,"Magmatic Chasm",,,,,"DTK",,"en","NM",,
1,"Magmatic Insight",,,,,"ORI",,"en","NM",,
1,"Magus of the Wheel",,,,,"A25",,"en","NM",,
1,"Mana Geode",,,,,"WAR",,"en","NM",,
1,"Manglehorn",,,,,"AKH",,"en","NM",,
1,"Manor Gargoyle",,,,,"ISD",,"en","NM",,
1,"Map the Wastes",,,,,"FRF",,"en","NM",,
1,"Mark of Fury",,,,,"UDS",,"en","NM",,
1,"Mask of Memory",,,,,"CMR",,"en","NM",,
1,"Mask of Riddles",,,,,"ARB",,"en","NM",,
1,"Masked Vandal",,,,,"KHM",,"en","NM",,
1,"Maximize Velocity",,,,,"GRN",,"en","NM",,
1,"Mentor of the Meek",,,,,"JMP",,"en","NM",,
1,"Mesa Enchantress",,,,,"M10",,"en","NM",,
1,"Messenger's Speed",,,,,"THS",,"en","NM",,
1,"Meteor Golem",,,,,"M20",,"en","NM",,
1,"Migratory Greathorn",,,,,"IKO",,"en","NM",,
1,"Mind Stone",,,,,"C21",,"en","NM",,
1,"Mindleecher",,,,,"C20",,"en","NM",,
1,"Mirage Phalanx",,,,,"VOC",,"en","NM",,
1,"Mizzium Mortars",,,,,"RTR",,"en","NM",,
2,"Momentous Fall",,,,,"C19",,"en","NM",,
1,"Monk Idealist",,,,,"EMA",,"en","NM",,
1,"Moon-Blessed Cleric",,,,,"AFR",,"en","NM",,
1,"Moriok Replica",,,,,"SOM",,"en","NM",,
1,"Mossfire Valley",,,,,"NEC",,"en","NM",,
2,"Mountain",,,,,"M13",,"en","NM",,
1,"Mountain",1,,,,"MRD",,"en","NM",,
6,"Mountain",,,,,"NEO",,"en","NM",,
6,"Mountain",,,,,"NEO",,"en","NM",,
2,"Mulch",1,,,,"ISD",,"en","NM",,
2,"Mulldrifter",,,,,"CMR",,"en","NM",,
2,"Mwonvuli Beast Tracker",,,,,"M13",,"en","NM",,
1,"Myr Enforcer",,,,,"MMA",,"en","NM",,
1,"Myriad Landscape",,,,,"C20",,"en","NM",,
1,"Mysterious Egg",,,,,"IKO",,"en","NM",,
1,"Mystic Sanctuary",,,,,"ELD",,"en","NM",,
1,"Mythos of Brokkos",,,,,"IKO",,"en","NM",,
1,"Nahiri's Machinations",,,,,"SOI",,"en","NM",,
1,"Narstad Scrapper",,,,,"AVR",,"en","NM",,
1,"Natural State",,,,,"OGW",,"en","NM",,
1,"Naturalize",,,,,"KTK",,"en","NM",,
1,"Naturalize",,,,,"DTK",,"en","NM",,
1,"Nature's Claim",,,,,"MB1",,"en","NM",,
1,"Necrogen Censer",,,,,"SOM",,"en","NM",,
1,"Necropede",,,,,"SOM",,"en","NM",,
1,"Neheb, Dreadhorde Champion",,,,,"WAR",,"en","NM",,
1,"Nessian Wanderer",,,,,"THB",,"en","NM",,
3,"Neurok Replica",,,,,"SOM",,"en","NM",,
1,"Neurok Stealthsuit",,,,,"5DN",,"en","NM",,
1,"Neverwinter Dryad",,,,,"AFR",,"en","NM",,
1,"Nightbird's Clutches",,,,,"ISD",,"en","NM",,
1,"Nomad Outpost",,,,,"KTK",,"en","NM",,
1,"Ogre's Cleaver",,,,,"ROE",,"en","NM",,
1,"Old Guard",,,,,"UND",,"en","NM",,
1,"Old-Growth Troll",,,,,"KHM",,"en","NM",,
4,"One with Nature",,,,,"SCG",,"en","NM",,
1,"One with the Kami",,,,,"NEC",,"en","NM",,
1,"Opal Palace",,,,,"CMR",,"en","NM",,
1,"Opulent Palace",,,,,"C16",,"en","NM",,
1,"Oran-Rief, the Vastwood",,,,,"NEC",,"en","NM",,
1,"Ordeal of Nylea",,,,,"NEC",,"en","NM",,
1,"Ordeal of Thassa",,,,,"THS",,"en","NM",,
1,"Ordinary Pony",,,,,"UND",,"en","NM",,
2,"Ornithopter of Paradise",,,,,"MH2",,"en","NM",,
1,"Ornithopter of Paradise",,,,,"MH2",,"en","NM",,
1,"Orochi Merge-Keeper",,,,,"NEO",,"en","NM",,
1,"Orzhov Basilica",,,,,"GPT",,"en","NM",,
1,"Orzhov Keyrune",,,,,"GTC",,"en","NM",,
1,"Otrimi, the Ever-Playful",1,,,,"C20",,"en","NM",,
2,"Overcome",,,,,"HOU",,"en","NM",,
1,"Overgrowth",,,,,"STH",,"en","NM",,
2,"Overrun",,,,,"M12",,"en","NM",,
1,"Oversimplify",,,,,"C21",,"en","NM",,
1,"Ox of Agonas",,,,,"NEC",,"en","NM",,
1,"Paper Tiger",,,,,"UND",,"en","NM",,
1,"Paradise Druid",,,,,"WAR",,"en","NM",,
1,"Parcelbeast",,,,,"IKO",,"en","NM",,
1,"Pathbreaker Wurm",,,,,"AVR",,"en","NM",,
1,"Pathway Arrows",,,,,"BFZ",,"en","NM",,
1,"Pennon Blade",,,,,"ROE",,"en","NM",,
1,"Perpetual Timepiece",,,,,"KLD",,"en","NM",,
1,"Perplex",,,,,"RAV",,"en","NM",,
1,"Pestilent Souleater",,,,,"NPH",,"en","NM",,
1,"Pheres-Band Thunderhoof",,,,,"JOU",,"en","NM",,
1,"Phyresis",,,,,"MBS",,"en","NM",,
1,"Phyrexian Digester",,,,,"MBS",,"en","NM",,
1,"Pierce Strider",,,,,"BBD",,"en","NM",,
2,"Pilgrim's Eye",,,,,"BFZ",,"en","NM",,
1,"Pitfall Trap",,,,,"ZEN",,"en","NM",,
