"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,Set code,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Scryfall ID
"Aegar, the Freezing Flame","Legendary Creature - Giant Wizard",Multi-couleurs,Peu commune,"Richard Luong",3,3,(1)(U)(R),3,1,0,0,$0.00,$0.09,161,"Multiverse Legends",MUL,84659,0,,0,"","","",0,705069,2a4dd90b-f4e2-4f22-80cb-56f1c3586abc
"Aerial Boost","Instant",Blanc,Commune,"Artur Nakhodkin",0,0,(1)(W),2,1,0,0,$0.11,$0.14,2,"March of the Machine",MOM,84083,0,,0,"","","",491694,704725,f7017afb-4c7c-4c8d-9c9d-3f056a55561e
"Aeromoeba","Creature - Elemental Beast",Bleu,Commune,"Victor Adame Minguez",2,4,(3)(U),4,1,0,0,$0.04,$0.12,37,"Modern Horizons 2",MH2,65406,522113,,0,"","","",239949,566471,2a304f7e-0b9e-4ef6-9ad8-34350839f7d9
"Aether Channeler","Creature - Human Wizard",Bleu,Rare,"Caio Monteiro",2,1,(2)(U),3,1,0,0,$1.66,$1.90,42,"Dominaria United",DMU,76738,574522,,0,"","","",283511,672649,60afeb75-2c1e-4634-8c83-88b1dddb77c2
"Aetherblade Agent","Creature - Human Rogue",Noir,Commune,"Alexander Mokhov",1,1,(1)(B),2,2,0,0,$0.07,$0.22,88,"March of the Machine",MOM,84187,0,,0,"","","",0,704783,dad34ae5-56b4-4394-be02-e043dc1cc23d
"Aetherwing, Golden-Scale Flagship","Legendary Artifact - Vehicle",Multi-couleurs,Peu commune,"Leon Tukker",0,4,,2,1,0,0,$0.02,$0.02,234,"March of the Machine",MOM,84367,0,,0,"","","",490504,704059,4f7231f6-8adc-4a68-9984-e56b974c087b
"Against All Odds","Sorcery",Blanc,Peu commune,"Rudy Siswanto",0,0,(3)(W),4,2,0,0,$0.07,$0.10,1,"Phyrexia: All Will Be One",ONE,82893,0,,0,"","","",479098,694155,3cd8dd4e-6892-49d7-8fae-97d04f9f6c84
"Aggressive Sabotage","Sorcery",Noir,Commune,"Daarken",0,0,(2)(B),3,1,0,0,$0.02,$0.12,78,"Dominaria United",DMU,76774,574558,,0,"","","",283617,672660,ac809fca-664a-4e7d-a39f-2bc1dea0fbd8
"Ainok Bond-Kin","Creature - Dog Soldier",Blanc,Commune,"Chris Rahn",2,1,(1)(W),2,1,0,0,$0.11,$0.11,78,"Midnight Hunt Commander",MIC,68946,539339,,0,"","","",248585,575358,9debad96-f691-4f02-8455-e400931e4d46
"Akki Ronin","Creature - Goblin Samurai",Rouge,Commune,"Nijimaarc",1,3,(1)(R),2,1,0,0,$0.11,$0.18,319,"Kamigawa: Neon Dynasty Collectors",NEO,71892,553228,,0,"","","",262852,608321,fa16ee8e-d33a-40e9-9956-e345f0511819
"Akki Scrapchomper","Creature - Phyrexian Goblin",Rouge,Commune,"Wisnu Tan",1,1,(R),1,1,0,0,$0.07,$0.11,130,"March of the Machine",MOM,84238,0,,0,"","","",0,704798,b0e02737-0193-46e4-a506-cec86a44dc99
"Alabaster Host Intercessor","Creature - Phyrexian Samurai",Blanc,Commune,"Konstantin Porubov",3,4,(5)(W),6,1,0,0,$0.10,$0.14,3,"March of the Machine",MOM,84084,0,,0,"","","",491696,704728,165357cc-ec74-490f-aec3-7048bb43c8f9
"Alabaster Host Sanctifier","Creature - Phyrexian Cleric",Blanc,Commune,"Konstantin Porubov",2,2,(1)(W),2,2,0,0,$0.15,$0.15,4,"March of the Machine",MOM,84085,0,,0,"","","",490396,703487,efbd934a-39c4-4ce7-af2a-34ca226d7f23
"Ambulatory Edifice","Artifact Creature - Phyrexian Construct",Noir,Peu commune,"Ariel Perez",3,2,(2)(B),3,1,0,0,$0.03,$0.08,79,"Phyrexia: All Will Be One",ONE,82971,0,,0,"","","",478938,693880,43c9005c-0574-4b75-8dbf-0a6641c3ae33
"An Offer You Can't Refuse","Instant",Bleu,Peu commune,"Dallas Williams",0,0,(U),1,1,0,0,$1.58,$2.48,51,"Streets of New Capenna",SNC,72888,555252,,0,"","","",268317,651366,b9d349f3-5be2-4b1f-a4c3-ba94822cf0cf
"Angel of Glory's Rise","Creature - Angel",Blanc,Rare,"Andrew Mar",4,6,(5)(W)(W),7,1,0,0,$0.40,$0.40,79,"Midnight Hunt Commander",MIC,68947,539340,,0,"","","",248580,575359,1865ab25-b01a-4e2c-bf19-ffcb0806358f
"Angelic Curator","Creature - Angel Spirit",Blanc,Peu commune,"Greg Staples",1,1,(1)(W),2,1,0,0,$0.04,$0.13,262,"Modern Horizons 2",MH2,65634,526233,,0,"","","",240433,566933,332352c2-98f2-4eb8-b49a-026a39df227b
"Angelic Intervention","Instant",Blanc,Commune,"Awanqi (Angela Wang)",0,0,(1)(W),2,2,0,0,$0.12,$0.15,5,"March of the Machine",MOM,84086,0,,0,"","","",491700,704732,09fb5876-5b47-4a05-be57-7ad3890c8953
"Anoint with Affliction","Instant",Noir,Commune,"David Astruga",0,0,(1)(B),2,1,0,0,$0.09,$0.21,81,"Phyrexia: All Will Be One",ONE,82973,0,,0,"","","",478382,692846,f7dc55a8-290f-4666-90ce-aa632e87c5e7
"Anointed Peacekeeper","Creature - Human Cleric",Blanc,Rare,"Tia Masic",3,3,(2)(W),3,1,0,0,$1.23,$1.65,2,"Dominaria United",DMU,76698,574482,,0,"","","",283402,672311,5b8127b5-3a65-411a-84bc-54e5c1be1477
"Apostle of Invasion","Creature - Phyrexian Angel",Blanc,Peu commune,"Marcela Bolívar",4,4,(4)(W)(W),6,3,0,0,$0.14,$0.14,3,"Phyrexia: All Will Be One",ONE,82895,0,,0,"","","",478629,692860,8a973487-5def-4771-bb77-5748cbd2f469
"Arachnoid Adaptation","Instant",Vert,Commune,"Isis",0,0,(G),1,3,0,0,$0.09,$0.14,175,"March of the Machine",MOM,84293,0,,0,"","","",491754,704813,8278069a-bd92-40ee-b7d5-e740dddb00fa
"Arc Spitter","Artifact - Equipment",Sans couleur,Peu commune,"Matt Forsyth",0,0,(1),1,1,0,0,$0.05,$0.14,233,"Streets of New Capenna",SNC,73070,555434,,0,"","","",268653,651657,f95a00ed-dc77-4dcd-9e14-6902565974b5
"Arcane Infusion","Instant",Multi-couleurs,Peu commune,"Jason Felix",0,0,(U)(R),2,2,0,0,$0.12,$0.12,210,"Innistrad: Midnight Hunt",MID,68686,535001,,0,"","","",247914,574780,9ab520b7-ad87-4c8e-a454-5c022e378564
"Arcane Signet","Artifact",Sans couleur,Peu commune,"Sam White",0,0,(2),2,1,0,0,$0.69,$2.66,298,"Commander Legends: Battle for Baldur's Gate",CLB,74850,563181,,0,"","","",272582,658512,5b245a5b-5a99-4d22-99ef-3f5bf49c3262
"Arcane Signet","Artifact",Sans couleur,Commune,"Dan Scott",0,0,(2),2,1,0,0,$0.69,$0.69,157,"Midnight Hunt Commander",MIC,69025,539418,,0,"","","",248628,575460,993dfead-1c44-47a7-bd37-f57e47bc1203
"Arcbound Javelineer","Artifact Creature - Soldier",Blanc,Peu commune,"Eric Deschamps",0,1,(W),1,1,0,0,$0.05,$0.36,2,"Modern Horizons 2",MH2,65371,522078,,0,"","","",240174,566776,fe4a2cb0-4129-451e-a946-a21ea646cc28
"Arcbound Mouser","Artifact Creature - Cat",Blanc,Commune,"Campbell White",0,0,(W),1,1,0,0,$0.16,$0.23,3,"Modern Horizons 2",MH2,65372,522079,,0,"","","",239790,566316,9d66e724-49ee-4f08-a160-584350de1d95
"Arcbound Prototype","Artifact Creature - Assembly-Worker",Blanc,Commune,"Svetlin Velinov",0,0,(1)(W),2,1,0,0,$0.09,$0.18,4,"Modern Horizons 2",MH2,65373,522080,,0,"","","",240417,566881,1cb0a1a4-9216-47f8-a4e3-20fe0de6a518
"Arcbound Shikari","Artifact Creature - Cat Soldier",Multi-couleurs,Peu commune,"Campbell White",0,0,(1)(R)(W),3,1,0,0,$0.10,$0.22,184,"Modern Horizons 2",MH2,65555,522260,,0,"","","",239675,566175,8d54c510-19bf-4da4-a51b-1caadf960654
"Arcbound Slasher","Artifact Creature - Cat",Rouge,Commune,"Campbell White",0,0,(4)(R),5,2,0,0,$0.08,$0.26,111,"Modern Horizons 2",MH2,65481,522187,,0,"","","",240193,566815,dcafff1a-e220-40ff-8c00-de6037219bc6
"Archangel Elspeth","Legendary Planeswalker - Elspeth",Blanc,Mythique,"Cynthia Sheppard",0,0,(2)(W)(W),4,1,0,0,$5.42,$8.77,6,"March of the Machine",MOM,84087,0,,0,"","","",490443,703481,35ed6263-bdd7-4013-ac8c-9b652d71a0db
"Archangel of Wrath","Creature - Angel",Blanc,Rare,"Miguel Mercado",3,4,(2)(W)(W),4,1,0,0,$0.34,$0.35,3,"Dominaria United",DMU,76699,574483,,0,"","","",282765,671315,2d00bab2-e95d-4296-a805-2a05e7640efb
"Archfiend of Sorrows","Creature - Demon",Noir,Peu commune,"David Rapoza",4,5,(5)(B)(B),7,1,0,0,$0.10,$0.11,74,"Modern Horizons 2",MH2,65444,522150,,0,"","","",239853,566469,f4d089f1-718e-4853-a634-64114735fba5
"Archpriest of Shadows","Creature - Human Warlock",Noir,Rare,"Fariba Khamseh",4,4,(3)(B)(B),5,1,0,0,$0.14,$0.30,89,"March of the Machine",MOM,84189,0,,0,"","","",490332,703445,f5931746-a55c-4528-9e4a-ee15edab3489
"Argivian Cavalier","Creature - Orc Knight",Blanc,Commune,"Chris Seaman",2,2,(2)(W),3,1,0,0,$0.02,$0.10,4,"Dominaria United",DMU,76700,574484,,0,"","","",283146,671913,57746e72-ba9f-4717-a4a2-6c6a039080c3
"Argivian Phalanx","Creature - Human Kor Soldier",Blanc,Commune,"Josh Hass",4,4,(5)(W),6,3,0,0,$0.10,$0.11,5,"Dominaria United",DMU,76701,574485,,0,"","","",283662,672638,afbadc37-1b4f-4237-a3c0-772bafb18aa0
"Armored Scrapgorger","Creature - Phyrexian Beast",Vert,Peu commune,"Martin de Diego Sádaba",0,3,(1)(G),2,2,0,0,$0.11,$0.25,158,"Phyrexia: All Will Be One",ONE,83050,0,,0,"","","",479365,694762,61e220d0-38c9-4584-940b-8a9e983ecfe7
"Aron, Benalia's Ruin","Legendary Creature - Phyrexian Human",Multi-couleurs,Peu commune,"Mark Winters",3,3,(W)(W)(B),3,1,0,0,$0.13,$0.14,193,"Dominaria United",DMU,76889,574673,,0,"","","",283454,672357,f1f8bf98-8911-4c86-978a-427377700544
"Aron, Benalia's Ruin","Legendary Creature - Phyrexian Human",Multi-couleurs,Peu commune,"Jody Clark",3,3,(W)(W)(B),3,1,0,0,$0.12,$0.21,292,"Dominaria United Collectors",DMU,76994,578045,,0,"","","",283091,671730,861f36b9-9f43-4ace-8e60-4ba671b2655a
"Artillerize","Instant",Rouge,Commune,"Johann Bodin",0,0,(3)(R),4,1,0,0,$0.11,$0.11,982,"The List",PLIST,83818,0,,0,"","","",480137,695279,b3c5578b-449a-42b2-885f-d9c172e544cd
"Artillery Blast","Instant",Blanc,Commune,"Julian Kok Joon Wen",0,0,(1)(W),2,1,0,0,$0.02,$0.08,6,"Dominaria United",DMU,76702,574486,,0,"","","",283652,672639,0d4d7293-657f-48ac-931b-fb6a44128e6d
"Artistic Refusal","Instant",Bleu,Peu commune,"Olivier Bernard",0,0,(4)(U)(U),6,2,0,0,$0.13,$0.16,46,"March of the Machine",MOM,84136,0,,0,"","","",490600,704296,2bd05f97-ef8b-4cbe-a44b-6501aa5895b0
"Ash Barrens","Land",Sans couleur,Peu commune,"John Avon",0,0,,0,1,0,0,$0.22,$0.22,880,"Commander Legends: Battle for Baldur's Gate",CLB,75256,567697,,0,"","","",273516,662075,fb71aebf-f5d3-45ee-91a4-51088f7141ec
"Ashen Reaper","Creature - Zombie Elemental",Multi-couleurs,Peu commune,"Joshua Raphael",2,1,,2,2,0,0,$0.02,$0.15,232,"March of the Machine",MOM,84363,0,,0,"","","",490611,704058,ae2e1244-f05b-45f9-8afc-59f190524798
"Ashling, the Extinguisher","Legendary Creature - Elemental Shaman",Noir,Rare,"Wayne Reynolds",4,4,(2)(B)(B),4,2,0,0,$4.61,$24.80,33,"Eventide",EVE,15705,151137,,0,"","","",27066,19495,350580d8-45db-4428-a292-cc4802bf1e4d
"Assimilate Essence","Instant",Bleu,Commune,"Konstantin Porubov",0,0,(1)(U),2,2,0,0,$0.10,$0.12,47,"March of the Machine",MOM,84137,0,,0,"","","",491717,704749,f6ee12ba-0e6c-485a-a1ff-61726ed72fea
"Astor, Bearer of Blades","Legendary Creature - Human Warrior",Multi-couleurs,Rare,"Ivan Shavrin",4,4,(2)(R)(W),4,1,0,0,$0.29,$0.33,293,"Dominaria United Collectors",DMU,76995,578046,,0,"","","",282793,671540,87ab2cad-ac4c-4b04-8724-c824b45db4d0
"Atraxa, Praetors' Voice","Legendary Creature - Phyrexian Angel Horror",Multi-couleurs,Mythique,"Justin Hernandez & Alexis Hernandez",4,4,(G)(W)(U)(B),4,1,0,0,$26.73,$28.01,33,"Multiverse Legends",MUL,84567,0,,0,"","","",484652,704175,bd0d5a0c-5dec-439c-b037-9d17dda5ead3
"Atraxa's Fall","Sorcery",Vert,Commune,"Xavier Ribeiro",0,0,(1)(G),2,2,0,0,$0.11,$0.18,176,"March of the Machine",MOM,84294,0,,0,"","","",491732,704814,e08ed414-77bf-402a-82a8-9d4e1bd627a1
"Attended Socialite","Creature - Elf Druid",Vert,Commune,"Drew Baker",2,1,(1)(G),2,1,0,0,$0.03,$0.05,133,"Streets of New Capenna",SNC,72970,555334,,0,"","","",268739,651846,8bccccf9-3ee5-4485-ae01-4dcbad989d18
"Attentive Skywarden","Creature - Phyrexian Kor",Blanc,Commune,"Jodie Muir",2,2,(2)(W),3,1,0,0,$0.11,$0.12,7,"March of the Machine",MOM,84088,0,,0,"","","",491334,704284,83d89bd5-95cc-41fc-aea2-2dde52231919
"Automatic Librarian","Artifact Creature - Construct",Sans couleur,Commune,"Alex Konstad",3,2,(3),3,1,0,0,$0.09,$0.09,229,"Dominaria United",DMU,76925,574709,,0,"","","",283374,672112,6c3d7ece-0f57-4213-a0ab-a9d7c1536ebb
"Avacyn's Pilgrim","Creature - Human Monk",Vert,Commune,"Jana Schirmer & Johannes Voss",1,1,(G),1,1,0,0,$0.40,$0.40,132,"Midnight Hunt Commander",MIC,69000,539393,,0,"","","",248657,575432,a390a7df-b8da-41aa-93e5-2c0db938a27e
"Aven Initiate","Creature - Bird Warrior",Bleu,Commune,"Jakub Kasper",3,2,(3)(U),4,1,0,0,$0.02,$0.03,39,"Double Masters 2022",2X2,75929,571372,,0,"","","",277133,665717,e078dfbe-ebdf-4ea8-aed7-cb2c986e7656
"Awaken the Maelstrom","Sorcery",Multi-couleurs,Rare,"Mathias Kollros",0,0,,5,1,0,0,$0.40,$0.99,230,"March of the Machine",MOM,84359,0,,0,"","","",491252,704420,318c363b-61cc-4e2f-8f86-a4287539ea07
"Awaken the Sleeper","Sorcery",Rouge,Peu commune,"Mathias Kollros",0,0,(3)(R),4,1,0,0,$0.07,$0.10,119,"Phyrexia: All Will Be One",ONE,83011,0,,0,"","","",478812,693409,3b92f866-2522-4f2a-a5ca-7d01ad79b927
"Awakened Skyclave","Creature - Elemental",Vert,Peu commune,"Diego Gisbert",4,4,,4,1,0,0,$0.21,$0.51,194,"March of the Machine",MOM,84320,0,,0,"","","",490235,703415,8fed056f-a8f5-41ec-a7d2-a80a238872d1
"Awoken Demon","Creature - Demon",Noir,Commune,"Tuan Duong Chu",4,4,,1,1,0,0,$0.11,$0.21,100,"Innistrad: Midnight Hunt",MID,68556,534870,,0,"","","",248331,575039,bbdad18e-e262-41f9-b252-1cbdcdd1b5f9
"Ayara, Furnace Queen","Legendary Creature - Phyrexian Elf Noble",Multi-couleurs,Rare,"Anna Podedworna",4,4,,3,2,0,0,$0.21,$0.71,90,"March of the Machine",MOM,84191,0,,0,"","","",490562,704361,a21b1734-a773-4107-95c1-b44d5ccdfd82
"Ayara, Furnace Queen","Legendary Creature - Phyrexian Elf Noble",Multi-couleurs,Rare,"Josu Hernaiz",4,4,,3,1,0,0,$0.05,$0.12,296,"March of the Machine Collectors",MOM,84463,0,,0,"","","",490560,704074,99b2647f-e509-49c5-9dbd-d56fe0eda98d
"Ayara, Widow of the Realm","Legendary Creature - Elf Noble",Noir,Rare,"Anna Podedworna",3,3,(1)(B)(B),3,2,0,0,$0.21,$0.71,90,"March of the Machine",MOM,84190,0,,0,"","","",490562,704361,a21b1734-a773-4107-95c1-b44d5ccdfd82
"Ayara, Widow of the Realm","Legendary Creature - Elf Noble",Noir,Rare,"Josu Hernaiz",3,3,(1)(B)(B),3,1,0,0,$0.05,$0.12,296,"March of the Machine Collectors",MOM,84462,0,,0,"","","",490560,704074,99b2647f-e509-49c5-9dbd-d56fe0eda98d
"Baird, Argivian Recruiter","Legendary Creature - Human Soldier",Multi-couleurs,Peu commune,"Jarel Threat",2,2,(R)(W),2,1,0,0,$0.13,$0.14,195,"Dominaria United",DMU,76891,574675,,0,"","","",283528,672693,1f643d78-d8d8-4645-9357-a68ebd0d3517
"Balduvian Atrocity","Creature - Phyrexian Berserker",Noir,Peu commune,"Mike Jordana",2,3,(2)(B),3,1,0,0,$0.12,$0.13,79,"Dominaria United",DMU,76775,574559,,0,"","","",282822,671610,365333c4-59a0-4365-b242-a67b6224c1b8
"Balduvian Berserker","Creature - Kor Berserker",Rouge,Peu commune,"Cristi Balanescu",1,3,(2)(R),3,1,0,0,$0.08,$0.08,116,"Dominaria United",DMU,76812,574596,,0,"","","",283413,672317,c35bab2f-8464-4968-8c50-8807638d687b
"Balmor, Battlemage Captain","Legendary Creature - Bird Wizard",Multi-couleurs,Peu commune,"Bram Sels",1,3,(U)(R),2,1,0,0,$0.13,$0.38,196,"Dominaria United",DMU,76892,574676,,0,"","","",283467,672358,959ba62e-bb3a-49ad-8b1b-e787e413e5d4
"Balmor, Battlemage Captain","Legendary Creature - Bird Wizard",Multi-couleurs,Peu commune,"Nino Vecia",1,3,(U)(R),2,1,0,0,$0.05,$0.29,295,"Dominaria United Collectors",DMU,76997,578048,,0,"","","",283482,672397,25e3ba0f-0879-4eea-9911-14b874f039b3
"Bannerhide Krushok","Creature - Beast",Vert,Commune,"Joe Slucher",4,4,(3)(G),4,1,0,0,$0.04,$0.13,149,"Modern Horizons 2",MH2,65520,522225,,0,"","","",240465,566916,1271251b-7d79-4cb4-80bb-98574aa63249
"Baral and Kari Zev","Legendary Creature - Human",Multi-couleurs,Rare,"Magali Villeneuve",2,4,(1)(U)(R),3,1,0,0,$2.30,$6.20,302,"March of the Machine Collectors",MOM,84474,0,,0,"","","",490576,704075,b612a164-d73e-47b3-a06a-fd5429b51fa9
"Barkweave Crusher","Creature - Elemental Warrior",Vert,Commune,"Kev Walker",2,5,(3)(G),4,1,0,0,$0.07,$0.07,154,"Dominaria United",DMU,76850,574634,,0,"","","",283636,672683,41c62c55-7b04-4987-9047-1322c842bb59
"Basilica Shepherd","Creature - Phyrexian Angel",Blanc,Commune,"Allen Williams",3,3,(3)(W)(W),5,1,0,0,$0.10,$0.11,4,"Phyrexia: All Will Be One",ONE,82896,0,,0,"","","",479623,694705,81ef3cfa-63e6-4450-af65-da7f05d13cf3
"Basilica Skullbomb","Artifact",Sans couleur,Commune,"Gaboleps",0,0,(1),1,2,0,0,$0.09,$0.12,224,"Phyrexia: All Will Be One",ONE,83116,0,,0,"","","",478976,693887,8e2f0ae2-db68-4338-93f9-9d9268cec41e
"Bastion Protector","Creature - Human Soldier",Blanc,Rare,"Victor Adame Minguez",3,3,(2)(W),3,1,0,0,$1.14,$1.14,80,"Midnight Hunt Commander",MIC,68948,539341,,0,"","","",248582,575360,1480725e-efad-45e8-b46c-8a1d8da661aa
"Battle-Rage Blessing","Instant",Noir,Commune,"Jarel Threat",0,0,(1)(B),2,2,0,0,$0.16,$0.16,80,"Dominaria United",DMU,76776,574560,,0,"","","",283619,672661,7cfc631b-49d1-4f1c-adac-5b07a2ccd06f
"Battlefly Swarm","Creature - Phyrexian Insect",Noir,Commune,"Xavier Ribeiro",1,1,(B),1,2,0,0,$0.13,$0.25,81,"Dominaria United",DMU,76777,574561,,0,"","","",283684,672662,3c6b4a2d-0bc0-4a54-9c78-712b48ad6be1
"Battlewing Mystic","Creature - Bird Wizard",Bleu,Peu commune,"Borja Pindado",2,1,(1)(U),2,1,0,0,$0.05,$0.13,43,"Dominaria United",DMU,76739,574523,,0,"","","",283405,672314,000376ef-8b6c-490d-98cb-d6de15b2e585
"Beamtown Beatstick","Artifact - Equipment",Rouge,Commune,"Konstantin Porubov",0,0,(R),1,2,0,0,$0.07,$0.08,131,"March of the Machine",MOM,84239,0,,0,"","","",490530,704032,2443cb94-b27e-4a96-93cb-ac7880149bcc
"Beast Within","Instant",Vert,Peu commune,"Jesper Ejsing",0,0,(2)(G),3,1,0,0,$0.98,$0.98,133,"Midnight Hunt Commander",MIC,69001,539394,,0,"","","",248599,575433,50b063b2-020f-41ae-b2ce-b34c49cda4f5
"Belenon War Anthem","Enchantment",Blanc,Peu commune,"Antonio José Manzanedo",0,0,,3,2,0,0,$0.07,$0.07,20,"March of the Machine",MOM,84104,0,,0,"","","",490661,704006,4fb0eb2d-9cb7-4e72-a970-5009b046df2a
"Beloved Beggar","Creature - Human Peasant",Blanc,Peu commune,"Francisco Miyara",0,4,(1)(W),2,1,0,0,$0.09,$0.09,3,"Innistrad: Midnight Hunt",MID,68439,534754,,0,"","","",247821,574763,6109b54e-56c5-4014-9f6d-d5f7a0fd725d
"Benalish Faithbonder","Creature - Human Cleric",Blanc,Commune,"Francisco Miyara",1,3,(1)(W),2,1,0,0,$0.04,$0.07,7,"Dominaria United",DMU,76703,574487,,0,"","","",283632,672640,084d77df-a899-406f-9d79-e3fa3abeaebc
"Benalish Sleeper","Creature - Phyrexian Human Soldier",Blanc,Commune,"Josu Hernaiz",3,1,(1)(W),2,1,0,0,$0.11,$0.13,8,"Dominaria United",DMU,76704,574488,,0,"","","",282770,671317,f96089ea-20cf-496d-84a6-9b660c2ef672
"Bestial Menace","Sorcery",Vert,Peu commune,"Andrew Robinson",0,0,(3)(G)(G),5,1,0,0,$0.07,$0.07,134,"Midnight Hunt Commander",MIC,69002,539395,,0,"","","",248645,575434,14003109-ec2c-40ad-b005-67218ec75cbd
"Bilious Skulldweller","Creature - Phyrexian Insect",Noir,Peu commune,"Svetlin Velinov",1,1,(B),1,1,0,0,$0.11,$0.20,83,"Phyrexia: All Will Be One",ONE,82975,0,,0,"","","",478809,693404,dfb81cb1-ac56-4803-a962-359854a447df
"Biogenic Upgrade","Sorcery",Vert,Peu commune,"Tomasz Jedruszek",0,0,(4)(G)(G),6,1,0,0,$0.11,$0.11,135,"Midnight Hunt Commander",MIC,69003,539396,,0,"","","",248641,575435,0962934b-6428-4283-96a5-3eeed497712e
"Bite Down","Instant",Vert,Commune,"Kitt Lapeña",0,0,(1)(G),2,1,0,0,$0.10,$0.23,155,"Dominaria United",DMU,76851,574635,,0,"","","",283649,672684,0eacd3de-b803-4322-8d88-d533761aa748
"Black Market","Enchantment",Noir,Rare,"Jeff Easley",0,0,(3)(B)(B),5,1,0,0,$3.02,$3.02,739,"Commander Legends: Battle for Baldur's Gate",CLB,75111,567556,,0,"","","",273506,661882,78c80c6d-f3ae-48d3-ba6a-b9b738e1affb
"Blackcleave Cliffs","Land",Sans couleur,Rare,"Yeong-Hao Han",0,0,,0,1,0,0,$4.53,$4.96,248,"Phyrexia: All Will Be One",ONE,83140,0,,0,"","","",478308,692378,1441fba4-fe06-4b5f-a103-aa6cf59a3859
"Blacksmith's Skill","Instant",Blanc,Commune,"Jason A. Engle",0,0,(W),1,1,0,0,$0.16,$0.19,6,"Modern Horizons 2",MH2,65375,522082,,0,"","","",240197,566802,31506792-d0ab-4c13-9ab8-6fa433220dbf
"Blacksmith's Skill","Instant",Blanc,Commune,"Jason A. Engle",0,0,(W),1,1,0,0,$0.12,$0.19,381,"Modern Horizons 2",MH2,65677,525562,,0,"","","",240219,566845,37304f74-a925-444c-bff6-7811f7f06966
"Blade-Blizzard Kitsune","Creature - Fox Ninja",Blanc,Peu commune,"Rorubei",2,2,(2)(W),3,1,0,0,$0.07,$0.19,331,"Kamigawa: Neon Dynasty Collectors",NEO,71904,552710,,0,"","","",262671,608325,53d244d4-c2c4-4032-b249-794556d79429
"Bladebrand","Instant",Noir,Commune,"Khurrum",0,0,(1)(B),2,2,0,0,$0.05,$0.07,87,"Innistrad: Midnight Hunt",MID,68540,534855,,0,"","","",248139,574943,64d4713d-321a-447f-a318-88b552ec5d0c
