name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Blade Splicer",,"Creature - Phyrexian Human Artificer",,"nph","4",rare,w,Not Owned,,false,,,"","",39996
"Brightling",,"Creature - Shapeshifter",,"bbd","25",mythic,w,Not Owned,,false,,,"","",68778
"Brimaz, King of Oreskos",,"Legendary Creature - Cat Soldier",,"bng","5",mythic,w,Not Owned,,false,,,"","",51739
"Fairgrounds Warden",,"Creature - Dwarf Soldier",,"kld","13",uncommon,w,Not Owned,,false,,,"","",61621
"Flickerwisp",,"Creature - Elemental",,"eve","6",uncommon,w,Not Owned,,false,,,"","",29970
"Monastery Mentor",,"Creature - Human Monk",,"frf","20",mythic,w,Not Owned,,false,,,"","",55410
"Porcelain Legionnaire",,"Artifact Creature - Phyrexian Soldier",,"nph","19",common,w,Not Owned,,false,,,"","",39834
"Recruiter of the Guard",,"Creature - Human Soldier",,"cn2","22",rare,w,Not Owned,,false,,,"","",
"Silverblade Paladin",,"Creature - Human Knight",,"avr","36",rare,w,Not Owned,,false,,,"","",44279
"Skyclave Apparition",,"Creature - Kor Spirit",,"znr","39",rare,w,Not Owned,,false,,,"","",83023
"Elesh Norn",,"Legendary Creature - Phyrexian Praetor",,"mom","292",mythic,w,Not Owned,,false,,,"","",
"Hero of Bladehold",,"Creature - Human Knight",,"mbs","8",mythic,w,Not Owned,,false,,,"","",39539
"Linvala, Keeper of Silence",,"Legendary Creature - Angel",,"roe","33",mythic,w,Not Owned,,false,,,"","",36656
"Palace Jailer",,"Creature - Human Soldier",,"cn2","18",uncommon,w,Not Owned,,false,,,"","",
"Restoration Angel",,"Creature - Angel",,"avr","32",rare,w,Not Owned,,false,,,"","",44009
"Angel of Invention",,"Creature - Angel",,"kld","4",mythic,w,Not Owned,,false,,,"","",61887
"Baneslayer Angel",,"Creature - Angel",,"m10","4",mythic,w,Not Owned,,false,,,"","",33075
"Karmic Guide",,"Creature - Angel Spirit",,"ulg","11",rare,w,Not Owned,,false,,,"","",12601
"Lyra Dawnbringer",,"Legendary Creature - Angel",,"dom","26",mythic,w,Not Owned,,false,,,"","",67517
"Reveillark",,"Creature - Elemental",,"mor","22",rare,w,Not Owned,,false,,,"","",29048
"Solitude",,"Creature - Elemental Incarnation",,"mh2","307",mythic,w,Not Owned,,false,,,"","",
"Venerated Loxodon",,"Creature - Elephant Cleric",,"grn","30",rare,w,Not Owned,,false,,,"","",69433
"Sun Titan",,"Creature - Giant",,"m11","35",mythic,w,Not Owned,,false,,,"","",37406
"Angel of Serenity",,"Creature - Angel",,"rtr","1",mythic,w,Not Owned,,false,,,"","",46789
"Elesh Norn, Grand Cenobite",,"Legendary Creature - Phyrexian Praetor",,"nph","9",mythic,w,Not Owned,,false,,,"","",39712
"Serra's Emissary",,"Creature - Angel",,"mh2","30",mythic,w,Not Owned,,false,,,"","",90429
"Iona, Shield of Emeria",,"Legendary Creature - Angel",,"zen","13",mythic,w,Not Owned,,false,,,"","",34614
"Gideon Blackblade",,"Legendary Planeswalker - Gideon",,"war","13",mythic,w,Not Owned,,false,,,"","",71632
"Elspeth, Knight-Errant",,"Legendary Planeswalker - Elspeth",,"ala","9",mythic,w,Not Owned,,false,,,"","",30927
"Gideon, Ally of Zendikar",,"Legendary Planeswalker - Gideon",,"bfz","29",mythic,w,Not Owned,,false,,,"","",58317
"The Wandering Emperor",,"Legendary Planeswalker",,"neo","303",mythic,w,Not Owned,,false,,,"","",
"Gideon Jura",,"Legendary Planeswalker - Gideon",,"roe","21",mythic,w,Not Owned,,false,,,"","",36346
"Elspeth, Sun's Champion",,"Legendary Planeswalker - Elspeth",,"ths","9",mythic,w,Not Owned,,false,,,"","",50304
"Condemn",,"Instant",,"dis","8",uncommon,w,Not Owned,,false,,,"","",24253
"Enlightened Tutor",,"Instant",,"mir","14",uncommon,w,Not Owned,,false,,,"","",6947
"Mana Tithe",,"Instant",,"plc","25",common,w,Not Owned,,false,,,"","",26511
"Path to Exile",,"Instant",,"con","15",uncommon,w,Not Owned,,false,,,"","",31733
"Swords to Plowshares",,"Instant",,"lea","40",uncommon,w,Not Owned,,false,,,"","",
"Blessed Alliance",,"Instant",,"emn","13",uncommon,w,Not Owned,,false,,,"","",61088
"Disenchant",,"Instant",,"lea","18",common,w,Not Owned,,false,,,"","",
"Sejiri Shelter",,"Instant",,"znr","37",uncommon,w,Not Owned,,false,,,"","",83017
"Generous Gift",,"Instant",,"mh1","11",uncommon,w,Not Owned,,false,,,"","",72394
"Balance",,"Sorcery",,"lea","3",rare,w,Not Owned,,false,,,"","",
"Winds of Abandon",,"Sorcery",,"mh1","37",rare,w,Not Owned,,false,,,"","",72446
"Council's Judgment",,"Sorcery",,"cns","16",rare,w,Not Owned,,false,,,"","",
"Armageddon",,"Sorcery",,"lea","2",rare,w,Not Owned,,false,,,"","",
"Day of Judgment",,"Sorcery",,"zen","9",rare,w,Not Owned,,false,,,"","",34552
"Wrath of God",,"Sorcery",,"lea","45",rare,w,Not Owned,,false,,,"","",
"Spectral Procession",,"Sorcery",,"shm","23",uncommon,w,Not Owned,,false,,,"","",29605
"Terminus",,"Sorcery",,"avr","38",rare,w,Not Owned,,false,,,"","",43815
"Mox Pearl",,"Artifact",,"lea","263",rare,w,Not Owned,,false,,,"","",651
"Maul of the Skyclaves",,"Artifact - Equipment",,"znr","27",rare,w,Not Owned,,false,,,"","",82995
"Spear of Heliod",,"Legendary Enchantment Artifact",,"ths","33",rare,w,Not Owned,,false,,,"","",50404
"Norn's Annex",,"Artifact",,"nph","17",rare,w,Not Owned,,false,,,"","",39964
"Land Tax",,"Enchantment",,"leg","26",uncommon,w,Not Owned,,false,,,"","",
"Legion's Landing",,"Legendary Enchantment",,"xln","22",rare,w,Not Owned,,false,,,"","",65054
"Honor of the Pure",,"Enchantment",,"m10","16",rare,w,Not Owned,,false,,,"","",32631
"Banishing Light",,"Enchantment",,"jou","5",uncommon,w,Not Owned,,false,,,"","",52214
"Oblivion Ring",,"Enchantment",,"lrw","34",common,w,Not Owned,,false,,,"","",28229
"Faith's Fetters",,"Enchantment - Aura",,"rav","16",common,w,Not Owned,,false,,,"","",23020
"Parallax Wave",,"Enchantment",,"nem","17",rare,w,Not Owned,,false,,,"","",13747
"Elspeth Conquers Death",,"Enchantment - Saga",,"thb","13",rare,w,Not Owned,,false,,,"","",79150
"Delver of Secrets",,"Creature - Human Wizard",,"isd","51",common,u,Not Owned,,false,,,"","",42436
"Spectral Sailor",,"Creature - Spirit Pirate",,"m20","76",uncommon,u,Not Owned,,false,,,"","",73051
"Jace, Vryn's Prodigy",,"Legendary Creature - Human Wizard",,"ori","60",mythic,u,Not Owned,,false,,,"","",57880
"Ledger Shredder",,"Creature - Bird Advisor",,"snc","46",rare,u,Not Owned,,false,,,"","",98311
"Looter il-Kor",,"Creature - Kor Rogue",,"tsp","66",common,u,Not Owned,,false,,,"","",25851
"Moon-Circuit Hacker",,"Enchantment Creature - Human Ninja",,"neo","67",common,u,Not Owned,,false,,,"","",97054
"Phantasmal Image",,"Creature - Illusion",,"m12","72",rare,u,Not Owned,,false,,,"","",41369
"Sea Gate Stormcaller",,"Creature - Human Wizard",,"znr","77",mythic,u,Not Owned,,false,,,"","",83109
"Snapcaster Mage",,"Creature - Human Wizard",,"isd","78",rare,u,Not Owned,,false,,,"","",42512
"The Reality Chip",,"Legendary Artifact Creature - Equipment Jellyfish",,"neo","74",rare,u,Not Owned,,false,,,"","",97068
"Thieving Skydiver",,"Creature - Merfolk Rogue",,"znr","85",rare,u,Not Owned,,false,,,"","",83127
"Thing in the Ice",,"Creature - Horror",,"soi","92",rare,u,Not Owned,,false,,,"","",59868
"Brazen Borrower",,"Creature - Faerie Rogue",,"eld","39",mythic,u,Not Owned,,false,,,"","",78180
"Deceiver Exarch",,"Creature - Phyrexian Cleric",,"nph","33",uncommon,u,Not Owned,,false,,,"","",39726
"Emry, Lurker of the Loch",,"Legendary Creature - Merfolk Wizard",,"eld","43",rare,u,Not Owned,,false,,,"","",78190
"Pestermite",,"Creature - Faerie Rogue",,"lrw","78",common,u,Not Owned,,false,,,"","",28241
"Sai, Master Thopterist",,"Legendary Creature - Human Artificer",,"m19","69",rare,u,Not Owned,,false,,,"","",68299
"Spellseeker",,"Creature - Human Wizard",,"bbd","41",rare,u,Not Owned,,false,,,"","",68810
"Tribute Mage",,"Creature - Human Wizard",,"mh1","73",uncommon,u,Not Owned,,false,,,"","",72518
"Trinket Mage",,"Creature - Human Wizard",,"5dn","39",common,u,Not Owned,,false,,,"","",20718
"Trophy Mage",,"Creature - Human Wizard",,"aer","48",uncommon,u,Not Owned,,false,,,"","",62637
"Vendilion Clique",,"Legendary Creature - Faerie Wizard",,"mor","55",rare,u,Not Owned,,false,,,"","",28946
"Amphin Mutineer",,"Creature - Salamander Pirate",,"cmr","55",rare,u,Not Owned,,false,,,"","",84892
"Glen Elendra Archmage",,"Creature - Faerie Wizard",,"eve","22",rare,u,Not Owned,,false,,,"","",30226
"Phyrexian Metamorph",,"Artifact Creature - Phyrexian Shapeshifter",,"nph","42",rare,u,Not Owned,,false,,,"","",39734
"Sower of Temptation",,"Creature - Faerie Wizard",,"lrw","88",rare,u,Not Owned,,false,,,"","",28767
"Subtlety",,"Creature - Elemental Incarnation",,"mh2","309",mythic,u,Not Owned,,false,,,"","",
"Urza, Lord High Artificer",,"Legendary Creature - Human Artificer",,"mh1","75",mythic,u,Not Owned,,false,,,"","",72522
"Venser, Shaper Savant",,"Legendary Creature - Human Wizard",,"fut","46",rare,u,Not Owned,,false,,,"","",26594
"Mulldrifter",,"Creature - Elemental",,"lrw","76",common,u,Not Owned,,false,,,"","",28245
"Riftwing Cloudskate",,"Creature - Illusion",,"tsp","73",uncommon,u,Not Owned,,false,,,"","",25519
"Consecrated Sphinx",,"Creature - Sphinx",,"mbs","21",mythic,u,Not Owned,,false,,,"","",39537
"Frost Titan",,"Creature - Giant",,"m11","55",mythic,u,Not Owned,,false,,,"","",37354
"Torrential Gearhulk",,"Artifact Creature - Construct",,"kld","67",mythic,u,Not Owned,,false,,,"","",61917
"Murktide Regent",,"Creature - Dragon",,"mh2","52",mythic,u,Not Owned,,false,,,"","",90473
"Inkwell Leviathan",,"Artifact Creature - Leviathan",,"con","30",rare,u,Not Owned,,false,,,"","",31689
"Jace Beleren",,"Legendary Planeswalker - Jace",,"lrw","71",rare,u,Not Owned,,false,,,"","",28469
"Narset, Parter of Veils",,"Legendary Planeswalker - Narset",,"war","61",uncommon,u,Not Owned,,false,,,"","",71728
"Jace, the Mind Sculptor",,"Legendary Planeswalker - Jace",,"wwk","31",mythic,u,Not Owned,,false,,,"","",35591
"Tamiyo, the Moon Sage",,"Legendary Planeswalker - Tamiyo",,"avr","79",mythic,u,Not Owned,,false,,,"","",43979
"Tezzeret the Seeker",,"Legendary Planeswalker - Tezzeret",,"ala","60",mythic,u,Not Owned,,false,,,"","",30979
"Brainstorm",,"Instant",,"ice","61",common,u,Not Owned,,false,,,"","",24401
"Mystical Tutor",,"Instant",,"mir","80",uncommon,u,Not Owned,,false,,,"","",7163
"Opt",,"Instant",,"inv","64",common,u,Not Owned,,false,,,"","",14891
"Pongify",,"Instant",,"plc","44",uncommon,u,Not Owned,,false,,,"","",26453
"Repeal",,"Instant",,"gpt","32",common,u,Not Owned,,false,,,"","",23627
"Spell Pierce",,"Instant",,"zen","67",common,u,Not Owned,,false,,,"","",34442
"Counterspell",,"Instant",,"lea","54",uncommon,u,Not Owned,,false,,,"","",
"Daze",,"Instant",,"nem","30",common,u,Not Owned,,false,,,"","",14009
"Impulse",,"Instant",,"vis","34",common,u,Not Owned,,false,,,"","",7589
"Jwari Disruption",,"Instant",,"znr","64",uncommon,u,Not Owned,,false,,,"","",83079
"Mana Drain",,"Instant",,"leg","65",uncommon,u,Not Owned,,false,,,"","",
"Mana Leak",,"Instant",,"sth","36",common,u,Not Owned,,false,,,"","",10307
"Miscalculation",,"Instant",,"ulg","36",common,u,Not Owned,,false,,,"","",12607
"Remand",,"Instant",,"rav","63",uncommon,u,Not Owned,,false,,,"","",23174
"Thassa's Intervention",,"Instant",,"thb","72",rare,u,Not Owned,,false,,,"","",79268
"Force of Negation",,"Instant",,"mh1","52",rare,u,Not Owned,,false,,,"","",72476
"Frantic Search",,"Instant",,"ulg","32",common,u,Not Owned,,false,,,"","",12615
"Thirst for Knowledge",,"Instant",,"mrd","53",uncommon,u,Not Owned,,false,,,"","",19705
"Cryptic Command",,"Instant",,"lrw","56",rare,u,Not Owned,,false,,,"","",28499
"Fact or Fiction",,"Instant",,"inv","57",uncommon,u,Not Owned,,false,,,"","",14505
"Gifts Ungiven",,"Instant",,"chk","62",rare,u,Not Owned,,false,,,"","",21335
"Force of Will",,"Instant",,"all","28",uncommon,u,Not Owned,,false,,,"","",
"Gush",,"Instant",,"mmq","82",common,u,Not Owned,,false,,,"","",13659
"Mystic Confluence",,"Instant",,"c15","14",rare,u,Not Owned,,false,,,"","",
"Dig Through Time",,"Instant",,"ktk","36",rare,u,Not Owned,,false,,,"","",54316
"Ancestral Vision",,"Sorcery",,"tsp","48",rare,u,Not Owned,,false,,,"","",25609
"Gitaxian Probe",,"Sorcery",,"nph","35",common,u,Not Owned,,false,,,"","",39976
"Ponder",,"Sorcery",,"lrw","79",common,u,Not Owned,,false,,,"","",28339
"Preordain",,"Sorcery",,"m11","70",common,u,Not Owned,,false,,,"","",37388
"Chart a Course",,"Sorcery",,"xln","48",uncommon,u,Not Owned,,false,,,"","",65108
"Show and Tell",,"Sorcery",,"usg","96",rare,u,Not Owned,,false,,,"","",12139
"Tinker",,"Sorcery",,"ulg","45",uncommon,u,Not Owned,,false,,,"","",12623
"Bribery",,"Sorcery",,"mmq","62",rare,u,Not Owned,,false,,,"","",13563
"Time Warp",,"Sorcery",,"tmp","97",rare,u,Not Owned,,false,,,"","",9895
"Echo of Eons",,"Sorcery",,"mh1","46",mythic,u,Not Owned,,false,,,"","",72464
"Upheaval",,"Sorcery",,"ody","113",rare,u,Not Owned,,false,,,"","",16811
"Walk the Aeons",,"Sorcery",,"tsp","93",rare,u,Not Owned,,false,,,"","",25569
"Treasure Cruise",,"Sorcery",,"ktk","59",common,u,Not Owned,,false,,,"","",54300
"Mox Sapphire",,"Artifact",,"lea","265",rare,u,Not Owned,,false,,,"","",655
"Search for Azcanta",,"Legendary Enchantment",,"xln","74",rare,u,Not Owned,,false,,,"","",65160
"Control Magic",,"Enchantment - Aura",,"lea","52",uncommon,u,Not Owned,,false,,,"","",
"Opposition",,"Enchantment",,"uds","40",rare,u,Not Owned,,false,,,"","",12821
"Treachery",,"Enchantment - Aura",,"uds","50",rare,u,Not Owned,,false,,,"","",13039
"Shark Typhoon",,"Enchantment",,"iko","67",rare,u,Not Owned,,false,,,"","",80143
"Dockside Chef",,"Enchantment Creature - Human Citizen",,"neo","93",uncommon,b,Not Owned,,false,,,"","",97106
"Evolved Sleeper",,"Creature - Human",,"dmu","93",rare,b,Not Owned,,false,,,"","",102662
"Guul Draz Assassin",,"Creature - Vampire Assassin",,"roe","112",rare,b,Not Owned,,false,,,"","",36344
"Viscera Seer",,"Creature - Vampire Wizard",,"m11","120",common,b,Not Owned,,false,,,"","",37492
"Blood Artist",,"Creature - Vampire",,"avr","86",uncommon,b,Not Owned,,false,,,"","",44105
"Dark Confidant",,"Creature - Human Wizard",,"rav","81",rare,b,Not Owned,,false,,,"","",23084
"Dauthi Voidwalker",,"Creature - Dauthi Rogue",,"mh2","397",rare,b,Not Owned,,false,,,"","",91067
"Kitesail Freebooter",,"Creature - Human Pirate",,"xln","110",uncommon,b,Not Owned,,false,,,"","",65236
"Mesmeric Fiend",,"Creature - Nightmare Horror",,"tor","69",common,b,Not Owned,,false,,,"","",17171
"Oona's Prowler",,"Creature - Faerie Rogue",,"lrw","133",rare,b,Not Owned,,false,,,"","",28739
"Pack Rat",,"Creature - Rat",,"rtr","73",rare,b,Not Owned,,false,,,"","",46737
"Vampire Hexmage",,"Creature - Vampire Shaman",,"zen","114",uncommon,b,Not Owned,,false,,,"","",34690
"Bone Shredder",,"Creature - Phyrexian Minion",,"ulg","49",uncommon,b,Not Owned,,false,,,"","",12641
"Graveyard Trespasser",,"Creature - Human Werewolf",,"mid","104",rare,b,Not Owned,,false,,,"","",93164
"Hypnotic Specter",,"Creature - Specter",,"lea","112",uncommon,b,Not Owned,,false,,,"","",
"Liliana, Heretical Healer",,"Legendary Creature - Human Cleric",,"ori","106",mythic,b,Not Owned,,false,,,"","",57940
"Murderous Rider",,"Creature - Zombie Knight",,"eld","97",rare,b,Not Owned,,false,,,"","",78308
"Nighthawk Scavenger",,"Creature - Vampire Rogue",,"znr","115",rare,b,Not Owned,,false,,,"","",83197
"Ophiomancer",,"Creature - Human Shaman",,"c13","84",rare,b,Not Owned,,false,,,"","",51344
"Plaguecrafter",,"Creature - Human Shaman",,"grn","82",uncommon,b,Not Owned,,false,,,"","",69537
"Rotting Regisaur",,"Creature - Zombie Dinosaur",,"m20","111",rare,b,Not Owned,,false,,,"","",73121
"Gonti, Lord of Luxury",,"Legendary Creature - Aetherborn Rogue",,"kld","84",rare,b,Not Owned,,false,,,"","",61957
"Grief",,"Creature - Elemental Incarnation",,"mh2","311",mythic,b,Not Owned,,false,,,"","",
"Kalitas, Traitor of Ghet",,"Legendary Creature - Vampire Warrior",,"ogw","86",mythic,b,Not Owned,,false,,,"","",59417
"Nekrataal",,"Creature - Human Assassin",,"vis","66",uncommon,b,Not Owned,,false,,,"","",7653
"Ravenous Chupacabra",,"Creature - Beast Horror",,"rix","82",uncommon,b,Not Owned,,false,,,"","",66617
"Sheoldred, the Apocalypse",,"Legendary Creature - Phyrexian Praetor",,"dmu","107",mythic,b,Not Owned,,false,,,"","",102690
"Sheoldred, the Apocalypse",,"Legendary Creature - Phyrexian Praetor",,"dmu","107",mythic,b,Not Owned,,false,,,"","",102690
"Yawgmoth, Thran Physician",,"Legendary Creature - Human Cleric",,"mh1","116",mythic,b,Not Owned,,false,,,"","",72604
"Gray Merchant of Asphodel",,"Creature - Zombie",,"ths","89",common,b,Not Owned,,false,,,"","",50562
"Massacre Girl",,"Legendary Creature - Human Assassin",,"war","99",rare,b,Not Owned,,false,,,"","",71804
"Sheoldred",,"Legendary Creature - Phyrexian Praetor",,"mom","340",mythic,b,Not Owned,,false,,,"","",109666
"Shriekmaw",,"Creature - Elemental",,"lrw","139",uncommon,b,Not Owned,,false,,,"","",28647
"Grave Titan",,"Creature - Giant",,"m11","97",mythic,b,Not Owned,,false,,,"","",37374
"Ink-Eyes, Servant of Oni",,"Legendary Creature - Rat Ninja",,"bok","71",rare,b,Not Owned,,false,,,"","",21867
"Massacre Wurm",,"Creature - Phyrexian Wurm",,"mbs","46",mythic,b,Not Owned,,false,,,"","",39315
"Sheoldred, Whispering One",,"Legendary Creature - Phyrexian Praetor",,"nph","73",mythic,b,Not Owned,,false,,,"","",39746
"Archon of Cruelty",,"Creature - Archon",,"mh2","75",mythic,b,Not Owned,,false,,,"","",90523
"Griselbrand",,"Legendary Creature - Demon",,"phel","106",mythic,b,Not Owned,,false,,,"","",
"Liliana of the Veil",,"Legendary Planeswalker - Liliana",,"isd","105",mythic,b,Not Owned,,false,,,"","",42616
"Liliana, Death's Majesty",,"Legendary Planeswalker - Liliana",,"akh","97",mythic,b,Not Owned,,false,,,"","",63796
"Liliana, Dreadhorde General",,"Legendary Planeswalker - Liliana",,"war","97",mythic,b,Not Owned,,false,,,"","",71800
"Dark Ritual",,"Instant",,"lea","98",common,b,Not Owned,,false,,,"","",
"Entomb",,"Instant",,"ody","132",rare,b,Not Owned,,false,,,"","",17047
"Fatal Push",,"Instant",,"aer","57",uncommon,b,Not Owned,,false,,,"","",62689
"Malakir Rebirth",,"Instant",,"znr","111",uncommon,b,Not Owned,,false,,,"","",83187
"Vampiric Tutor",,"Instant",,"vis","72",rare,b,Not Owned,,false,,,"","",7777
"Heartless Act",,"Instant",,"iko","91",uncommon,b,Not Owned,,false,,,"","",80191
"Infernal Grasp",,"Instant",,"mid","107",uncommon,b,Not Owned,,false,,,"","",93174
"Shallow Grave",,"Instant",,"mir","141",rare,b,Not Owned,,false,,,"","",7297
"Corpse Dance",,"Instant",,"tmp","116",rare,b,Not Owned,,false,,,"","",9801
"Dismember",,"Instant",,"nph","57",uncommon,b,Not Owned,,false,,,"","",39944
"Hero's Downfall",,"Instant",,"ths","90",rare,b,Not Owned,,false,,,"","",50596
"Makeshift Mannequin",,"Instant",,"lrw","124",uncommon,b,Not Owned,,false,,,"","",28361
"Vraska's Contempt",,"Instant",,"xln","129",rare,b,Not Owned,,false,,,"","",65274
"Wretched Confluence",,"Instant",,"c15","23",rare,b,Not Owned,,false,,,"","",
"Bone Shards",,"Sorcery",,"mh2","395",common,b,Not Owned,,false,,,"","",91063
"Duress",,"Sorcery",,"usg","132",common,b,Not Owned,,false,,,"","",12317
"Imperial Seal",,"Sorcery",,"ptk","78",rare,b,Not Owned,,false,,,"","",
"Inquisition of Kozilek",,"Sorcery",,"roe","115",uncommon,b,Not Owned,,false,,,"","",36360
"Reanimate",,"Sorcery",,"tmp","151",uncommon,b,Not Owned,,false,,,"","",9989
"Thoughtseize",,"Sorcery",,"lrw","145",rare,b,Not Owned,,false,,,"","",28269
"Chainer's Edict",,"Sorcery",,"tor","57",uncommon,b,Not Owned,,false,,,"","",17205
"Collective Brutality",,"Sorcery",,"emn","85",rare,b,Not Owned,,false,,,"","",61144
"Demonic Tutor",,"Sorcery",,"lea","104",uncommon,b,Not Owned,,false,,,"","",
"Exhume",,"Sorcery",,"usg","134",common,b,Not Owned,,false,,,"","",11897
"Hymn to Tourach",,"Sorcery",,"fem","38a",common,b,Not Owned,,false,,,"","",
"Night's Whisper",,"Sorcery",,"5dn","55",uncommon,b,Not Owned,,false,,,"","",20816
"Persist",,"Sorcery",,"mh2","400",rare,b,Not Owned,,false,,,"","",91073
"Buried Alive",,"Sorcery",,"wth","63",uncommon,b,Not Owned,,false,,,"","",9385
"Toxic Deluge",,"Sorcery",,"c13","96",rare,b,Not Owned,,false,,,"","",51366
"Damnation",,"Sorcery",,"plc","85",rare,b,Not Owned,,false,,,"","",26279
"Languish",,"Sorcery",,"ori","105",rare,b,Not Owned,,false,,,"","",58156
"Mastermind's Acquisition",,"Sorcery",,"rix","77",rare,b,Not Owned,,false,,,"","",66607
"Dark Petition",,"Sorcery",,"ori","90",rare,b,Not Owned,,false,,,"","",57968
"Living Death",,"Sorcery",,"tmp","142",rare,b,Not Owned,,false,,,"","",9795
"Mox Jet",,"Artifact",,"lea","262",rare,b,Not Owned,,false,,,"","",649
"Wishclaw Talisman",,"Artifact",,"eld","110",rare,b,Not Owned,,false,,,"","",78342
"Bolas's Citadel",,"Legendary Artifact",,"war","79",rare,b,Not Owned,,false,,,"","",71764
"Animate Dead",,"Enchantment - Aura",,"lea","92",uncommon,b,Not Owned,,false,,,"","",
"Bitterblossom",,"Tribal Enchantment - Faerie",,"mor","58",rare,b,Not Owned,,false,,,"","",29038
"Black Market Connections",,"Enchantment",,"clb","669",rare,b,Not Owned,,false,,,"","",101434
"Necromancy",,"Enchantment",,"vis","64",uncommon,b,Not Owned,,false,,,"","",7649
"Recurring Nightmare",,"Enchantment",,"exo","72",rare,b,Not Owned,,false,,,"","",10583
"Yawgmoth's Bargain",,"Enchantment",,"uds","75",rare,b,Not Owned,,false,,,"","",12853
"Bomat Courier",,"Artifact Creature - Construct",,"kld","199",rare,r,Not Owned,,false,,,"","",62075
"Fervent Champion",,"Creature - Human Knight",,"eld","124",rare,r,Not Owned,,false,,,"","",78374
"Goblin Guide",,"Creature - Goblin Scout",,"zen","126",rare,r,Not Owned,,false,,,"","",34374
"Goblin Welder",,"Creature - Goblin Artificer",,"ulg","80",rare,r,Not Owned,,false,,,"","",12561
"Goldhound",,"Artifact Creature - Treasure Dog",,"snc","108",common,r,Not Owned,,false,,,"","",98435
"Grim Lavamancer",,"Creature - Human Wizard",,"tor","100",rare,r,Not Owned,,false,,,"","",17339
"Monastery Swiftspear",,"Creature - Human Monk",,"ktk","118",uncommon,r,Not Owned,,false,,,"","",54108
"Ragavan, Nimble Pilferer",,"Legendary Creature - Monkey Pirate",,"mh2","138",mythic,r,Not Owned,,false,,,"","",90653
"Shivan Devastator",,"Creature - Dragon Hydra",,"dmu","143",mythic,r,Not Owned,,false,,,"","",102762
"Soul-Scar Mage",,"Creature - Human Wizard",,"akh","148",rare,r,Not Owned,,false,,,"","",63898
"Abbot of Keral Keep",,"Creature - Human Monk",,"ori","127",rare,r,Not Owned,,false,,,"","",58042
"Dire Fleet Daredevil",,"Creature - Human Pirate",,"rix","99",rare,r,Not Owned,,false,,,"","",66651
"Dreadhorde Arcanist",,"Creature - Zombie Wizard",,"war","125",rare,r,Not Owned,,false,,,"","",71856
"Eidolon of the Great Revel",,"Enchantment Creature - Spirit",,"jou","94",rare,r,Not Owned,,false,,,"","",52246
"Embereth Shieldbreaker",,"Creature - Human Knight",,"eld","122",uncommon,r,Not Owned,,false,,,"","",78368
"Kari Zev, Skyship Raider",,"Legendary Creature - Human Pirate",,"aer","87",rare,r,Not Owned,,false,,,"","",62745
"Magda, Brazen Outlaw",,"Legendary Creature - Dwarf Berserker",,"khm","142",rare,r,Not Owned,,false,,,"","",87619
"Runaway Steam-Kin",,"Creature - Elemental",,"grn","115",rare,r,Not Owned,,false,,,"","",69603
"Young Pyromancer",,"Creature - Human Shaman",,"m14","163",uncommon,r,Not Owned,,false,,,"","",49413
