Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Scryfall ID,Last Modified
"1","0","Diamond City","Fallout","Near Mint","English","","EDH | Butch","3e9bd49a-e9f1-4543-b04a-777a9e5a55ec","2025-02-01 01:01:23.669422"
"1","0","Borborygmos Enraged","Ravnica Remastered","Near Mint","English","","Cube | bgc1 | 06-Multi","02df18c5-07b9-4e85-9c4b-58b63fa59437","2025-02-01 01:03:11.932161"
"1","1","Vadmir, New Blood","Outlaws of Thunder Junction","Near Mint","English","","BIN","828b5855-af5a-46a6-8fd4-0a2e28f3bb01","2025-03-07 03:51:39.594344"
"1","0","Hexavus","The Brothers' War Commander","Near Mint","English","","EDH | Butch","b599064e-1c44-4df0-ac7d-d2eb0ba44b16","2025-02-01 01:00:51.972022"
"1","0","Pip-Boy 3000","Fallout","Near Mint","English","","EDH | Butch","c2248694-aab0-47a8-ae8b-8d5283075e10","2025-02-01 01:01:17.513703"
"1","0","Sol Ring","Fallout","Near Mint","English","","EDH | Butch","e675f7e2-5c9f-4912-8fdd-daaeda284a3d","2025-02-01 01:01:30.302900"
"1","1","Wayfarer's Bauble","Fallout","Near Mint","English","","BIN","084b7503-d05b-4eac-bb6f-ef3bf696437d","2025-03-07 03:51:39.594344"
"1","1","Helper Card","March of the Machine - Promo Pack","Near Mint","English","","BIN","84bb6cda-2dd0-4ad7-82ef-8461588d83aa","2025-03-07 03:51:39.594344"
"2","0","Elemental Token","Modern Horizons 2","Near Mint","English","","Cube | bgc1 | 10-Tokens","5cddb130-a354-4373-9dc4-60c7d57eec8b","2025-02-01 00:59:59.698270"
"1","0","Cemetery Prowler","Innistrad: Crimson Vow","Near Mint","English","","Cube | bgc1 | 05-G","b124ccc4-76e3-41a4-92b2-8f1d06ea9cb8","2025-02-01 01:02:58.686017"
"1","0","Scavenger Grounds","Fallout","Near Mint","English","","EDH | Butch","bc8fa97c-f796-4fb7-bd4d-f55b5f66c36e","2025-02-01 01:01:00.755271"
"1","0","Rogue's Passage","Fallout","Near Mint","English","","EDH | Butch","6e0d5ed6-baa9-42b7-87e2-372e4513b771","2025-02-01 01:01:10.157001"
"1","0","Fain, the Broker","Commander 2021","Near Mint","English","","EDH | Butch","26acb9db-1a2f-4b08-b121-88f953e597e5","2025-02-01 01:01:46.989496"
"1","1","Kaervek, the Punisher","Outlaws of Thunder Junction","Near Mint","English","","BIN","7f3affc1-be42-48c7-89ff-b59550ff278c","2025-03-07 03:52:25.198621"
"1","1","Pact of the Serpent","Kaldheim Commander Decks","Near Mint","English","","BIN","c5b3d118-ba4b-4a93-92a2-cd763de49d29","2025-02-01 01:04:50.923308"
"1","1","Changeling Outcast","Zendikar Rising Commander","Near Mint","English","","BIN","0dc046ef-eeb9-4ef7-8cc5-172b7346355e","2025-02-01 01:05:03.337190"
"2","2","Corpse Churn","Oath of the Gatewatch","Near Mint","English","","BIN","6b7e6054-c6b8-4b29-83c5-a2e4e295bdf3","2025-03-07 03:51:39.594344"
"3","3","Murder","Commander Legends","Near Mint","English","","BIN","440bfb8c-f29a-4c11-9fcb-ee935dead03f","2025-03-07 03:51:39.594344"
"3","3","Spontaneous Mutation","Commander Legends","Near Mint","English","","BIN","6919154c-154e-4430-b7fd-ab9fe70326dc","2025-03-07 03:51:39.594344"
"3","3","Dhund Operative","Commander Legends","Near Mint","English","","BIN","e0efe5b1-c515-4642-aca2-3eba68fe63ff","2025-03-07 03:51:39.594344"
"1","0","Dauthi Embrace","Tempest","Good (Lightly Played)","English","","EDH | Butch","7e84bb94-d654-4d69-89d9-0a398a940125","2025-01-31 23:05:52.963278"
"1","0","Doom Whisperer","Guilds of Ravnica","Near Mint","English","","Cube | bgc1 | 03-B","0a11ee0d-ff8d-4648-8b4e-29440c135c30","2025-01-31 23:05:52.980222"
"1","0","Sign in Blood","Magic 2013","Good (Lightly Played)","English","","EDH | Butch","64f6600b-36c4-43bd-8c01-cfbca402ecd6","2025-01-31 23:05:53.016685"
"1","0","Feast on the Fallen","Magic 2015 Core Set","Near Mint","English","","EDH | Butch","d96a9227-14ce-4d35-b5e6-0d0c657207c0","2025-01-31 23:05:53.029913"
"1","1","Witch's Cottage","Throne of Eldraine","Near Mint","English","","","b87891cd-b457-4dff-8d18-a7eaf6748fc6","2025-03-30 18:24:00.695449"
"2","0","Eldrazi Horror Token","Eldritch Moon","Near Mint","English","","Tokens","11d25bde-a303-4b06-a3e1-4ad642deae58","2025-01-31 23:06:42.818536"
"1","0","Spitting Dilophosaurus","Jurassic World Collection","Near Mint","English","","EDH | Butch","f4f0c479-5fd1-45c2-af3f-15b6e5811b0f","2025-01-31 23:08:33.062839"
"1","0","Pact of the Serpent","Kaldheim Commander Decks","Near Mint","English","","EDH | Butch","c5b3d118-ba4b-4a93-92a2-cd763de49d29","2025-01-31 23:08:33.486550"
"1","0","Massacre Wurm","Mirrodin Besieged","Good (Lightly Played)","English","","EDH | Butch","cdd32ec2-02a8-41fc-bf45-c9585bb2b3ee","2025-01-31 23:17:58.745718"
"1","0","Swamp (#269)","Core Set 2020","Near Mint","English","foil","EDH | Butch","184a196e-8604-49d2-a66a-6f7c0eafd5de","2025-01-31 23:22:34.404141"
"1","0","Six","Modern Horizons 3","Near Mint","English","","Cube | bgc1 | 05-G","f9246b68-580f-4f53-883d-7900880e4b0d","2025-01-31 23:07:43.059773"
"1","0","Night's Whisper","Open House Promos","Near Mint","English","foil","EDH | Butch","e93b0c9a-e8dc-4b08-a8cc-79c1c2c36441","2025-01-31 23:07:43.082386"
"1","0","Changeling Outcast","Modern Horizons","Near Mint","English","","EDH | Butch","08151d00-513a-4957-aa16-01c0f0245112","2025-01-31 23:07:43.097890"
"1","0","Battle Screech","Dominaria Remastered","Near Mint","English","","Cube | bgc1 | 01-W","3a21cf44-4d8e-4b24-a1fe-4222c857f0ef","2025-01-31 23:07:43.144592"
"4","0","Cephalid Coliseum","Modern Horizons 3","Near Mint","English","","Modern | Dredge","2cb9c743-8793-48e6-bb3d-0d9b76fd1a62","2025-02-01 19:37:10.388402"
"1","1","Bloodthirsty Blade","Commander 2019","Near Mint","English","","BIN","42ceb92a-2f41-43d2-884b-b3362d611cfd","2025-03-07 03:51:39.594344"
"1","0","Swamp (#563)","Secret Lair Drop Series","Near Mint","English","foil","EDH | Butch","65422b02-47ee-4c68-ac27-81fa6368864e","2025-01-31 23:21:59.174721"
"1","0","Swamp (#283)","The Brothers' War","Near Mint","English","foil","EDH | Butch","7232adef-c8eb-461f-b563-cb54cdeb22d5","2025-01-31 23:22:11.650170"
"1","0","Swamp (#264)","Wilds of Eldraine","Near Mint","English","foil","EDH | Butch","ee68f2cb-851b-4196-ac58-844d72628e6a","2025-01-31 23:21:23.794618"
"1","0","Swamp (#28)","Premium Deck Series: Graveborn","Near Mint","English","foil","EDH | Butch","116af68d-2f2a-454e-947a-ceeda00f5905","2025-01-31 23:21:47.252364"
"1","0","Swamp (#289) (Full Art)","The Lost Caverns of Ixalan","Near Mint","English","foil","EDH | Butch","a825ac86-d642-42fd-b6aa-94aa804907d9","2025-01-31 23:22:20.060977"
"1","1","Ajani's Presence","Journey into Nyx","Near Mint","English","","BIN","e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a","2025-03-07 03:51:39.594344"
"11","11","Tragic Poet","Dominaria","Near Mint","English","","BIN","f957b353-7765-4c16-9645-d41000154130","2025-03-07 03:51:39.594344"
"1","1","Furnace Celebration","Ultimate Masters","Near Mint","English","","BIN","c5879ce5-7bc0-4688-a506-8b0796a00485","2025-03-07 03:51:39.594344"
"1","1","Pit Fight","Gatecrash","Near Mint","English","","BIN","3624332e-60fc-4819-a0f1-d7ec41c6518b","2025-03-07 03:51:39.594344"
"4","4","Checklist Card","Dark Ascension","Near Mint","English","","BIN","825c61e7-bf33-45ea-af78-97ab3bc96753","2025-03-07 03:51:10.920599"
"16","16","Checklist Card","Ixalan","Near Mint","English","","BIN","4a8b3030-5495-404b-938c-8c4a387a1341","2025-03-07 03:51:10.920599"
"1","0","Rugged Prairie","Double Masters","Near Mint","English","","EDH | Rocco","225cd301-7d04-480d-94ed-52537d944c6f","2024-10-21 02:25:39.240634"
"1","0","Sarinth Steelseeker","The Brothers' War","Near Mint","English","foil","EDH | Rocco","d96761b2-eb9c-4963-a496-ba53a01f4b17","2023-07-28 00:54:05.884347"
"1","0","Rocco, Street Chef","March of the Machine: The Aftermath - Showcase","Near Mint","English","foil","EDH | Rocco","8102736a-220d-41d8-acea-79971d73db9a","2023-07-28 00:49:46.723414"
"2","0","Reckless Handling","March of the Machine: The Aftermath - Showcase","Near Mint","English","foil","","428f43d7-8979-466a-be73-8e073b0afdd1","2023-05-29 02:00:14.260916"
"1","0","Angelic Renewal","Ultimate Masters","Near Mint","English","foil","EDH | Tameshi","a03fc1f1-31f6-4e52-87d0-e3d18ea60d3b","2023-06-01 21:58:07.639506"
"1","1","Servo Schematic","The Brothers' War Commander","Near Mint","English","","BIN","723b5b4d-120c-4396-8e7c-ed62302f463d","2025-03-16 02:07:46.301628"
"1","1","Cosmic Rebirth","March of the Machine: The Aftermath - Showcase","Near Mint","English","foil","","896a7953-c8af-4a08-b31b-33fe65c14a2c","2025-02-15 03:11:51.984359"
"1","1","Spire of Industry","Aether Revolt","Near Mint","English","","BIN","8331724d-6fab-454a-b06c-b06e499fa552","2025-03-07 03:52:45.823066"
"1","0","Overgrown Farmland","Innistrad: Double Feature","Near Mint","English","","EDH | Karador","0c341a10-392e-4d99-99e9-b0fb18098489","2022-03-22 17:10:13.878199"
"4","4","Akoum Battlesinger","Worldwake","Good (Lightly Played)","English","","BIN","031950b6-110f-4e20-b31b-afe5ffdd6086","2025-03-07 03:51:39.594344"
"3","3","Akrasan Squire","Shards of Alara","Near Mint","English","","BIN","59fdc045-b938-4321-aec3-51685cbbaa52","2025-03-07 03:51:39.594344"
"1","0","Lazotep Plating","War of the Spark","Near Mint","English","","","f03b5405-6016-405b-a504-a454731b9276","2024-05-28 22:45:49.090786"
"1","0","Living Death","Masters 25","Near Mint","English","","EDH | Karador","8e2be583-2fa4-4ffe-9d89-c48a43d78a4e","2020-03-21 19:31:48.770097"
"1","1","Hired Hexblade","Adventures in the Forgotten Realms","Near Mint","English","foil","BIN","c23cbf01-90d0-4962-92d5-5e1566e8ef4b","2025-03-07 03:51:39.594344"
"1","0","Boros Charm","Masters 25","Near Mint","English","","EDH | AkAx","a6e601a7-c542-4843-98c6-e0a38aaf6cab","2022-01-04 21:03:32.605414"
"3","3","Beckon Apparition","Eventide","Near Mint","English","","BIN","3bae1a3b-881b-4b10-ac5f-822c809edc36","2025-03-07 03:51:39.594344"
"5","5","Blink of an Eye","Dominaria","Near Mint","English","","BIN","ab830392-4d7e-4b45-93cf-35ed1e935228","2025-03-07 03:51:39.594344"
"3","3","Cartouche of Zeal","Amonkhet","Near Mint","English","","BIN","8d09b2d9-b944-480b-93f9-76fc9bc319ce","2025-03-07 03:51:39.594344"
"4","4","Coiling Oracle","Dissension","Near Mint","English","","BIN","55a6ba2a-b372-4b15-9a1e-09b41316eab7","2025-03-07 03:51:39.594344"
"1","1","Dead Weight","Innistrad","Near Mint","English","","BIN","7933987e-7b8c-4d5a-804a-708d6bb6d231","2025-03-07 03:51:39.594344"
"1","1","Deadeye Quartermaster","Ixalan","Near Mint","English","","BIN","5ba70d58-69fd-4675-85d2-90bc2595c01c","2025-03-07 03:52:25.198621"
"1","0","Form of the Dragon","From the Vault: Dragons","Near Mint","English","foil","Collection","14b37758-68cc-42a3-a19c-3fbca745250a","2018-06-24 15:48:56.888669"
"1","1","Ghitu Lavarunner","Dominaria","Near Mint","English","","BIN","c448ba82-a502-459f-9ebc-fc9e85674e6c","2025-03-07 03:51:39.594344"
"1","0","Glissa, the Traitor","Prerelease Events","Near Mint","English","foil","Collection","9e293b2d-5eae-43c3-bb1f-4c0ed2b0bd21","2024-03-10 20:11:21.255242"
"1","1","Greater Sandwurm","Amonkhet","Near Mint","English","","BIN","6411d177-45fd-4193-8414-0f7e7846d2b9","2025-03-07 03:51:39.594344"
"1","1","Harsh Scrutiny","Kaladesh","Near Mint","English","","BIN","fe68b484-cc8d-4a0b-94c2-1fec9090dfcd","2025-03-07 03:51:39.594344"
"1","0","Izzet Boilerworks","Guildpact","Near Mint","English","","EDH | Howler","666f455e-3a3d-475d-b67a-a1fdd74820eb","2025-03-15 22:34:57.033331"
"1","1","Kozilek's Channeler","Battle for Zendikar","Near Mint","English","","BIN","c550d179-32ec-4ad8-91c2-d79320a21cba","2025-03-07 03:51:39.594344"
"1","1","Longtusk Cub","Kaladesh","Near Mint","English","","BIN","c4de778a-4419-49a5-9dcf-5d0095c873fa","2025-03-07 03:51:39.594344"
"1","0","Ingenious Artillerist","Commander Legends: Battle for Baldur's Gate","Near Mint","English","foil","EDH | Rocco","1d8dd6c3-3699-4dd1-a019-fdb569eaf722","2023-12-05 23:37:11.713090"
"1","1","Marionette Master","Kaladesh","Near Mint","English","","BIN","358a87a3-c76e-4c7d-ac84-464894ed9a31","2025-01-24 02:59:29.894641"
"1","1","March of the Machines","Archenemy","Near Mint","English","","BIN","3245f858-b5c3-42dd-8ec2-3f775ad9e1ec","2025-03-07 03:52:45.823066"
"1","0","Trophy Mage","Magic Game Day Cards","Near Mint","English","","","317ffc8a-4b6e-4ff7-b049-7494cb41e448","2024-07-05 20:35:37.136255"
"1","1","The Reality Chip","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","foil","","b8fb5ee3-97af-40c1-a8de-a2a62afd418d","2024-10-20 21:34:22.204417"
"1","0","Nihil Spellbomb","Masters 25","Near Mint","English","foil","EDH | AkAx","e5892a23-efae-4731-9b8f-41c87960fe93","2024-04-03 02:26:14.263927"
"1","0","Reckless Fireweaver","Kaladesh","Near Mint","English","","EDH | Rocco","63ffac51-62c4-4170-85b3-a43d7cfae7d7","2023-07-28 00:53:36.348469"
"1","0","Massacre Girl, Known Killer","Murders at Karlov Manor","Near Mint","English","","EDH | Butch","cb1c8800-9d33-485c-b776-042003b9ea92","2025-02-01 19:37:10.339971"
"1","0","Persistent Constrictor","Duskmourn: House of Horror Commander","Near Mint","English","","EDH | Butch","0a25d478-84fd-4e4b-abb7-f5f6becf6eb0","2025-02-01 19:37:18.403015"
"1","0","City of Brass","Modern Event Deck 2014","Near Mint","English","","Cube | bgc1 | 08-Nonbasics","2d120ddb-73e7-4dbc-b48c-4a6c74f331c3","2025-02-01 20:34:07.639234"
"1","1","Flamekin Village","Commander 2014","Near Mint","English","","BIN","88d589b9-2da2-4323-ae9d-086a6d5ab2bf","2025-03-15 22:27:20.039027"
"1","0","Endurance","Modern Horizons 2 Borderless","Near Mint","English","","EDH | Karador,Signed","1fc6d14a-1328-4032-ad9e-cd85cd365bd3","2025-02-24 17:43:07.385201"
"1","0","Mountain (#279)","Streets of New Capenna","Near Mint","English","foil","","2e97dadd-0849-4c18-9523-4775d09fca9a","2023-12-30 23:41:47.893841"
"3","3","Insect Token | Wolf Token","Commander Legends: Battle for Baldur's Gate","Near Mint","English","","BIN","3ca5cf3c-18f8-430a-a20f-2226d9cac387","2025-03-07 03:51:10.920599"
"1","1","Monk Idealist","Commander 2015","Near Mint","English","","BIN","00a9bcaf-47ea-406e-ac51-e68ba181214a","2025-03-07 03:52:25.198621"
"4","4","Monstrous Carabid","Alara Reborn","Near Mint","English","","BIN","b09e668d-02ca-4164-88ee-c7ea6c665975","2025-03-07 03:51:39.594344"
"4","0","Scalding Tarn","Zendikar","Good (Lightly Played)","English","","Modern | Dredge","327cf118-cc92-4073-85d0-94d2a0a6989a","2023-01-24 03:40:43.902585"
"1","0","Grave Titan","Duels of the Planeswalkers Game Promos","Good (Lightly Played)","English","foil","EDH | Karador,Signed","c6a86111-3556-43a0-b034-2bc9bd8c3230","2024-11-24 03:02:59.740931"
"1","0","Wurmcoil Engine","Prerelease Events","Near Mint","English","foil","EDH | AkAx,Signed","b9bdfa34-f608-40d4-b634-b260ad620f18","2021-12-21 04:11:53.310639"
"1","0","Etali, Primal Storm","Rivals of Ixalan","Near Mint","English","foil","Collection | Dinos","1d3d8bb4-0430-45bb-930d-5d6db6521945","2021-03-02 02:17:27.046739"
"1","0","Professional Face-Breaker","Streets of New Capenna","Near Mint","English","","","42acbf52-b137-44f0-a815-2817fe8d2da2","2024-12-29 20:15:59.878738"
"1","0","Aethersnipe","Lorwyn","Good (Lightly Played)","English","","EDH | EllieAlan","c44c623e-9ae1-495d-b72d-166f2ed4cf2c","2024-04-13 21:39:04.668808"
"1","0","Monster Manual","Commander Legends: Battle for Baldur's Gate","Near Mint","English","foil","EDH | EllieAlan","27223ee4-970a-438a-beff-a1b13b14aff4","2024-04-13 21:39:04.731538"
"1","0","Imposing Vantasaur","Ikoria: Lair of Behemoths","Near Mint","French","foil","EDH | EllieAlan","b6fa5feb-f5e9-4079-acc9-84e458044769","2024-04-13 21:39:04.842103"
"1","0","Topiary Panther","Murders at Karlov Manor","Near Mint","English","foil","EDH | EllieAlan","03d0365e-6dee-4236-a997-6761e3cde90d","2025-02-05 03:52:07.733654"
"1","0","Pemmin's Aura","Scourge","Good (Lightly Played)","English","","","9fb3e38b-086e-4fbc-b7b1-8564c18276d7","2025-03-02 20:55:15.883758"
"1","1","Luminate Primordial","Gatecrash","Near Mint","English","","BIN","b0747b12-c75a-4fdf-a881-f2383a23ccdd","2025-03-07 03:52:25.198621"
"1","0","Generous Ent","Lord of the Rings: Tales of Middle-earth","Near Mint","English","","Cube | bgc1 | 05-G","85d22d5d-3875-42ff-b51e-c6e21db201f5","2024-10-17 22:06:23.420932"
"1","1","Goma Fada Vanguard","Zendikar Rising","Near Mint","English","","BIN","ce83962b-445a-4b44-ad8a-fada2c0a15b8","2025-03-07 03:51:39.594344"
"2","2","Ravager's Mace","Zendikar Rising","Near Mint","English","","BIN","af484140-57d6-4505-9960-5e7b0306cc9b","2025-03-07 03:51:39.594344"
"1","1","Relic Axe","Zendikar Rising","Near Mint","English","","BIN","ca8705e3-0e44-45c9-bcdf-c24507b038fe","2025-03-07 03:51:39.594344"
"6","6","New Horizons","Ixalan","Near Mint","English","","BIN","15b12c75-1248-4c81-90cf-28e341a885cf","2025-03-07 03:51:39.594344"
"1","0","Sarkhan the Masterless (Alternate Art)","War of the Spark","Near Mint","Japanese","foil","Collection | WAR JP PWs","df04f130-e9ea-4f5f-82d0-63d3f74d8234","2021-03-02 17:20:50.042105"
"1","0","Ajani, the Greathearted (Alternate Art)","War of the Spark","Near Mint","Japanese","foil","Collection | WAR JP PWs","bee535c3-4ccd-4eb1-85e9-d28bf6dc0710","2021-03-02 17:20:37.126186"
"1","0","Davriel, Rogue Shadowmage (Alternate Art)","War of the Spark","Near Mint","Japanese","foil","Collection | WAR JP PWs","1ce03906-fef8-4636-945c-95b857cbeab0","2021-03-02 17:20:41.861380"
"1","1","Innocent Traveler","Innistrad: Crimson Vow - Showcase Fang Frame","Near Mint","English","","BIN","49691eb6-a6a4-4171-ae34-d43b44eb2ac6","2025-03-07 03:51:39.594344"
"3","3","One With the Wind","Ixalan","Near Mint","English","","BIN","2c00f8bf-0088-44ad-b40b-26a2951a2428","2025-03-07 03:51:39.594344"
"1","0","Reveillark","Modern Masters","Near Mint","English","","EDH | Karador","06a4d2e0-1410-41f4-8070-2b0144c71e1d","2019-06-15 15:31:55.130200"
"1","1","Perilous Voyage","Ixalan","Near Mint","English","","BIN","c9f6623e-2784-4bc9-9d8c-3eee9c78c350","2025-03-07 03:51:39.594344"
"1","0","Jeska's Will","Commander Legends","Near Mint","English","","","4e91d96d-cc69-439b-b876-a7d57039022c","2025-03-16 01:09:13.108590"
"1","0","Spire of Industry","Aether Revolt","Near Mint","English","","EDH | Howler","8331724d-6fab-454a-b06c-b06e499fa552","2025-03-15 22:42:40.526310"
"1","0","Spire of Industry","Aether Revolt","Near Mint","English","foil","EDH | AkAx","8331724d-6fab-454a-b06c-b06e499fa552","2023-10-19 01:01:55.905521"
"1","1","Kaya, Ghost Assassin","Secret Lair Drop Series","Near Mint","English","","BIN","67851439-26d6-422d-9bce-8c9c25ffc0c2","2025-02-04 22:24:21.580843"
"1","0","Lion Sash","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","308c8834-e06e-452a-b82e-cb2b8fe0c304","2023-01-25 22:41:07.584458"
"1","0","Secluded Courtyard","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","0539b1a5-8704-476f-ba1f-2fe01190e157","2023-01-25 22:41:07.599840"
"1","0","Yawgmoth, Thran Physician","Dominaria Remastered - Borderless","Near Mint","English","","EDH | Karador","09ed98e1-898b-494b-a27d-7c1ab28cd9f1","2023-01-25 22:42:04.003397"
"1","0","Thousand-Faced Shadow","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","a48c2751-fd12-42f2-b8c1-eaf78c5e29eb","2023-01-25 22:43:24.017606"
"1","0","Lizard Blades","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","f0cadc1b-3434-4c38-b414-0f5ab4ca52a0","2023-01-25 22:43:24.037560"
"1","0","Invoke Despair","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","35af9d5c-4449-4549-b549-c3ba4a67dee0","2023-01-25 22:43:24.056262"
"1","0","Hinata, Dawn-Crowned","Kamigawa: Neon Dynasty - Showcase","Near Mint","English","","Cube | sneo","4737d299-09ce-4012-b3e9-c93a09035d65","2023-01-25 22:43:24.078174"
"1","0","Weaver of Harmony","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","d1682673-e947-44e2-b9c9-cbcb9a16892b","2023-01-25 22:43:24.118215"
"1","1","Shifting Ceratops","Core Set 2020","Near Mint","English","","BIN","8e318600-21af-4003-bcfa-be926cd24c5c","2025-03-07 03:52:25.198621"
"1","0","Arlinn, Voice of the Pack (Alternate Art)","War of the Spark","Near Mint","Japanese","foil","Collection | WAR JP PWs","43261927-7655-474b-ac61-dfef9e63f428","2021-03-03 03:38:04.754754"
"1","1","Rix Maadi Reveler","Ravnica Allegiance","Good (Lightly Played)","English","","BIN","c40396da-18e2-42ca-a78c-4838a38f68b8","2025-03-07 03:51:39.594344"
"1","0","Mind Stone","Dominaria Remastered - Retro Frame","Near Mint","English","foil","Signed","cb3d470d-e0f0-44c2-97f7-f31c02cdfbd3","2025-03-16 01:49:47.175703"
"1","0","Wild Growth","Dominaria Remastered - Retro Frame","Near Mint","English","foil","","c7246bde-9298-4386-ac4f-1d79f7f0cca5","2023-12-05 22:32:33.516122"
"1","0","Enlightened Tutor","Dominaria Remastered - Retro Frame","Near Mint","English","foil","EDH | Tameshi","8ecea08d-7d65-4d61-a34d-2f8976af5f5e","2024-07-18 22:17:28.088724"
"3","0","Kitsune Ace","Kamigawa: Neon Dynasty","Near Mint","English","","Cube | sneo","ef1d446a-8607-45b8-a01f-dad17bab76e7","2023-01-25 23:03:19.330223"
"1","1","Futurist Sentinel","Kamigawa: Neon Dynasty","Near Mint","English","","BIN","8672f626-3e46-447b-841f-6a04cd380653","2025-03-07 03:49:55.294349"
"2","2","Wood Elves","Commander 2015","Near Mint","English","","BIN","5edc7881-f947-4870-a3ac-c013d0f275f3","2025-03-07 03:52:25.198621"
"1","0","Stitcher's Supplier","Core Set 2019","Near Mint","English","","EDH | Karador","2b737126-50b5-4678-91bf-197b64086fe4","2020-12-15 03:19:10.859269"
"1","0","Grave Titan","Secret Lair Drop Series","Near Mint","English","","Cube | bgc1 | 03-B","8f1a018f-ce08-428b-9be2-937204dd25c2","2024-11-24 03:03:03.931556"
"1","0","Inferno Titan","Secret Lair Drop Series","Near Mint","English","","","be293048-1df6-4df4-869c-b3b19534b35b","2023-08-26 03:03:59.044871"
