"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Attrition","mp2","Near Mint","English","foil","","2025-06-09 22:08:39.573000","19","False","True",""
"1","1","Aura Shards","inv","Near Mint","English","","","2025-06-09 22:08:39.573000","233","False","True",""
"1","1","Avacyn, Angel of Hope","j17","Near Mint","English","foil","","2025-06-09 22:08:39.573000","1","False","True",""
"2","2","Avacyn, Angel of Hope","avr","Near Mint","English","","","2025-06-09 22:08:39.573000","6","False","True",""
"1","1","Awaken the Woods","bro","Near Mint","English","","","2025-06-09 22:08:39.573000","344","False","True",""
"1","1","Back to Basics","usg","Near Mint","English","","","2025-06-09 22:08:39.573000","62","False","True",""
"1","1","Badlands","leb","Near Mint","English","","","2025-06-09 22:08:39.573000","278","False","True",""
"4","4","Badlands","3ed","Near Mint","English","","","2025-06-09 22:08:39.573000","282","False","True",""
"1","1","Badlands","vma","Near Mint","English","foil","","2025-06-09 22:08:39.573000","291","True","True",""
"1","1","Balefire Dragon","isd","Near Mint","English","","","2025-06-09 22:08:39.573000","129","False","True",""
"1","1","Batterskull","nph","Near Mint","English","","","2025-06-09 22:08:39.573000","130","False","True",""
"1","1","Bayou","vma","Near Mint","English","foil","","2025-06-09 22:08:39.573000","293","True","True",""
"3","3","Bayou","3ed","Near Mint","English","","","2025-06-09 22:08:39.573000","283","False","True",""
"1","1","Bayou","leb","Near Mint","English","","","2025-06-09 22:08:39.573000","279","False","True",""
"1","1","Bazaar of Baghdad","arn","Near Mint","English","","","2025-06-09 22:08:39.573000","70","False","True",""
"1","1","Berserk","leb","Near Mint","English","","","2025-06-09 22:08:39.573000","186","False","True",""
"3","3","Birds of Paradise","rav","Near Mint","English","","","2025-06-09 22:08:39.573000","153","False","True",""
"2","2","Birds of Paradise","leb","Near Mint","English","","","2025-06-09 22:08:39.573000","187","False","True",""
"1","1","Birds of Paradise","7ed","Near Mint","English","foil","","2025-06-09 22:08:39.573000","231★","False","True",""
"1","1","Bitterblossom","mor","Near Mint","English","","","2025-06-09 22:08:39.573000","58","False","True",""
"2","2","Black Market Connections","clb","Near Mint","English","","","2025-06-09 22:08:39.573000","620","False","True",""
"2","2","Blightsteel Colossus","mbs","Near Mint","English","","","2025-06-09 22:08:39.573000","99","False","True",""
"1","1","Blightsteel Colossus","2xm","Near Mint","English","foil","","2025-06-09 22:08:39.573000","357","False","True",""
"2","2","Blood Crypt","rna","Near Mint","English","","","2025-06-09 22:08:39.573000","245","False","True",""
"1","1","Blood Crypt","exp","Near Mint","English","foil","","2025-06-09 22:08:39.573000","8","False","True",""
"1","1","Blood Crypt","unf","Near Mint","English","","","2025-06-09 22:08:39.573000","279","False","True",""
"1","1","Blood Crypt","unf","Near Mint","English","foil","","2025-06-09 22:08:39.573000","530","False","True",""
"1","1","Blood Moon","mma","Near Mint","English","","","2025-06-09 22:08:39.573000","106","False","True",""
"1","1","Blood Moon","drk","Near Mint","English","","","2025-06-09 22:08:39.573000","58","False","True",""
"1","1","Bloodchief Ascension","zen","Near Mint","English","","","2025-06-09 22:08:39.573000","82","False","True",""
"1","1","Bloodghast","zen","Near Mint","English","","","2025-06-09 22:08:39.573000","83","False","True",""
"1","1","Bloodstained Mire","exp","Near Mint","English","foil","","2025-06-09 22:08:39.573000","18","False","True",""
"3","3","Bloodstained Mire","ons","Near Mint","English","","","2025-06-09 22:08:39.573000","313","False","True",""
"2","2","Bloodstained Mire","ktk","Near Mint","English","","","2025-06-09 22:08:39.573000","230","False","True",""
"1","1","Bloodstained Mire","zne","Near Mint","English","","","2025-06-09 22:08:39.573000","3","False","True",""
"1","1","Bloodstained Mire","zne","Near Mint","English","foil","","2025-06-09 22:08:39.573000","3","False","True",""
"1","1","Bloom Tender","eve","Near Mint","English","","","2025-06-09 22:08:39.573000","66","False","True",""
"2","2","Boseiju, Who Endures","neo","Near Mint","English","","","2025-06-09 22:08:39.573000","266","False","True",""
"1","1","Boseiju, Who Shelters All","chk","Near Mint","English","","","2025-06-09 22:08:39.573000","273","False","True",""
"3","3","Bountiful Promenade","bbd","Near Mint","English","","","2025-06-09 22:08:39.573000","81","False","True",""
"1","1","Bramble Sovereign","bbd","Near Mint","English","","","2025-06-09 22:08:39.573000","65","False","True",""
"2","2","Branching Evolution","jmp","Near Mint","English","","","2025-06-09 22:08:39.573000","29","False","True",""
"1","1","Breeding Pool","dis","Near Mint","English","","","2025-06-09 22:08:39.573000","172","False","True",""
"1","1","Breeding Pool","unf","Near Mint","English","foil","","2025-06-09 22:08:39.573000","537","False","True",""
"1","1","Breeding Pool","unf","Near Mint","English","","","2025-06-09 22:08:39.573000","286","False","True",""
"1","1","Breeding Pool","dis","Near Mint","Russian","","","2025-06-09 22:08:39.573000","172","False","True",""
"1","1","Breeding Pool","rna","Near Mint","English","","","2025-06-09 22:08:39.573000","246","False","True",""
"1","1","Breeding Pool","exp","Near Mint","English","foil","","2025-06-09 22:08:39.573000","15","False","True",""
"1","1","Bribery","8ed","Near Mint","English","","","2025-06-09 22:08:39.573000","64","False","True",""
"1","1","Bruvac the Grandiloquent","jmp","Near Mint","English","","","2025-06-09 22:08:39.573000","10","False","True",""
"1","1","Cabal Coffers","tor","Near Mint","English","","","2025-06-09 22:08:39.573000","139","False","True",""
"1","1","Cabal Coffers","f07","Near Mint","English","foil","","2025-06-09 22:08:39.573000","10","False","True",""
"2","2","Cabal Coffers","mh2","Near Mint","English","","","2025-06-09 22:08:39.573000","325","False","True",""
"1","1","Caged Sun","nph","Near Mint","English","","","2025-06-09 22:08:39.573000","132","False","True",""
"2","2","Cavern of Souls","mm3","Near Mint","English","","","2025-06-09 22:08:39.573000","232","False","True",""
"3","3","Cavern of Souls","avr","Near Mint","English","","","2025-06-09 22:08:39.573000","226","False","True",""
"1","1","Celestial Colonnade","wwk","Near Mint","English","","","2025-06-09 22:08:39.573000","133","False","True",""
"1","1","Chains of Mephistopheles","leg","Near Mint","English","","","2025-06-09 22:08:39.573000","91","False","True",""
"1","1","Champion's Helm","mps","Near Mint","English","foil","","2025-06-09 22:08:39.573000","7","False","True",""
"1","1","Chandra, Awakened Inferno","m20","Near Mint","English","","","2025-06-09 22:08:39.573000","127","False","True",""
"1","1","Chandra, Torch of Defiance","kld","Near Mint","English","","","2025-06-09 22:08:39.573000","110","False","True",""
"1","1","Chandra, Torch of Defiance","ps18","Near Mint","English","foil","","2025-06-09 22:08:39.573000","110","False","True",""
"3","3","Chromatic Lantern","grn","Near Mint","English","","","2025-06-09 22:08:39.573000","233","False","True",""
"1","1","Chromatic Lantern","mps","Near Mint","English","foil","","2025-06-09 22:08:39.573000","8","False","True",""
"1","1","Chromatic Orrery","m21","Near Mint","English","","","2025-06-09 22:08:39.573000","382","False","True",""
"1","1","Chrome Mox","mps","Near Mint","English","foil","","2025-06-09 22:08:39.573000","9","False","True",""
"4","4","City of Brass","arn","Near Mint","English","","","2025-06-09 22:08:39.573000","71","False","True",""
"1","1","City of Traitors","exo","Near Mint","English","","","2025-06-09 22:08:39.573000","143","False","True",""
"1","1","Cloud Key","fut","Near Mint","English","","","2025-06-09 22:08:39.573000","160","False","True",""
"1","1","Cloudstone Curio","rav","Near Mint","English","","","2025-06-09 22:08:39.573000","257","False","True",""
"1","1","Cloudstone Curio","mps","Near Mint","English","foil","","2025-06-09 22:08:39.573000","10","False","True",""
